Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Dolce Vita Collection Ninfeo Mio Goutalfor women and men,for women and men,4.17,47,"['citrus', 'fresh', 'green', 'lavender', 'aromatic']",[],Dolce Vita Collection Ninfeo MiobyGoutalis a Citrus Aromatic fragrance for women and men.Dolce Vita Collection Ninfeo Miowas launched in 2016.,https://www.fragrantica.com/perfume/Goutal/Dolce-Vita-Collection-Ninfeo-Mio-38333.html
Eau d'Hadrien Eau sans Alcool Goutalfor women and men,for women and men,4.27,11,"['citrus', 'aldehydic', 'fresh', 'aromatic']",[],Eau d'Hadrien Eau sans AlcoolbyGoutalis a Citrus Aromatic fragrance for women and men.Eau d'Hadrien Eau sans Alcoolwas launched in 2018.,https://www.fragrantica.com/perfume/Goutal/Eau-d-Hadrien-Eau-sans-Alcool-50441.html
L’Ile au Thé Eau sans Alcool Goutalfor women and men,for women and men,4.4,10,"['citrus', 'fruity', 'floral', 'fresh', 'green', 'white floral', 'musky']",[],"L’Ile au Thé Eau sans AlcoolbyGoutalis a Citrus Aromatic fragrance for women and men.L’Ile au Thé Eau sans Alcoolwas launched in 2018. Top notes are Citruses and Mandarin Orange; middle notes are Osmanthus, Tea and Mandarin Blossom; base note is Musk.",https://www.fragrantica.com/perfume/Goutal/L-Ile-au-The-Eau-sans-Alcool-50442.html
Petite Chérie Eau sans Alcool Goutal Goutalfor women,for women,4.5,4,"['floral', 'fresh', 'fruity', 'green', 'sweet', 'musky', 'powdery', 'aquatic', 'rose', 'vanilla']","['Annick Goutal', 'Isabelle Doyen']","Petite Chérie Eau sans Alcool GoutalbyGoutalis a Floral Fruity fragrance for women.Petite Chérie Eau sans Alcool Goutalwas launched in 2019. Petite Chérie Eau sans Alcool Goutal was created by Isabelle Doyen and Annick Goutal. Top notes are Pear, Peach and Grass; middle notes are Lilac, Rose and Hedione; base notes are White Musk and Vanilla.",https://www.fragrantica.com/perfume/Goutal/Petite-Cherie-Eau-sans-Alcool-Goutal-73500.html
Rose Pompon Eau sans Alcool Goutalfor women,for women,4.57,7,"['rose', 'fruity', 'woody', 'floral', 'musky', 'sweet', 'patchouli', 'soft spicy', 'powdery', 'fresh']",[],"Rose Pompon Eau sans AlcoolbyGoutalis a Floral Fruity fragrance for women.Rose Pompon Eau sans Alcoolwas launched in 2018. Top notes are Raspberry, Black Currant and Pink Pepper; middle notes are Rose and Peony; base notes are Cedar, Musk and Patchouli.",https://www.fragrantica.com/perfume/Goutal/Rose-Pompon-Eau-sans-Alcool-50443.html
Songes Eau Sans Alcool Goutalfor women,for women,4.14,14,"['white floral', 'floral', 'yellow floral', 'sweet', 'vanilla', 'tropical', 'fruity']",[],Songes Eau Sans AlcoolbyGoutalis a Amber Floral fragrance for women.Songes Eau Sans Alcoolwas launched in 2018.,https://www.fragrantica.com/perfume/Goutal/Songes-Eau-Sans-Alcool-50440.html
1001 OUDS Goutalfor women and men,for women and men,3.98,125,"['woody', 'oud', 'amber', 'leather', 'warm spicy', 'rose', 'smoky', 'balsamic']",[],"1001 OUDSbyGoutalis a Amber Spicy fragrance for women and men.1001 OUDSwas launched in 2015. Top notes are Agarwood (Oud) and Papyrus; middle notes are Agarwood (Oud), Rose and Pimento; base notes are Agarwood (Oud), Myrhh, Guaiac Wood and Birch.",https://www.fragrantica.com/perfume/Goutal/1001-OUDS-31762.html
Ambre Sauvage Goutalfor women and men,for women and men,4.15,159,"['amber', 'patchouli', 'vanilla', 'powdery', 'soft spicy', 'woody', 'earthy', 'iris', 'warm spicy', 'lavender']",[],Ambre SauvagebyGoutalis a Amber Spicy fragrance for women and men.Ambre Sauvagewas launched in 2015. Top notes are Amber and Patchouli; middle notes are Pink Pepper and Lavender; base notes are Vanilla Absolute and Iris.,https://www.fragrantica.com/perfume/Goutal/Ambre-Sauvage-31763.html
Rose Oud Goutalfor women and men,for women and men,4.4,10,"['rose', 'warm spicy', 'aromatic', 'amber', 'oud', 'smoky', 'soft spicy', 'floral', 'balsamic']","['Camille Goutal', 'Isabelle Doyen']",Rose OudbyGoutalis a Amber Floral fragrance for women and men.Rose Oudwas launched in 2016. Rose Oud was created by Isabelle Doyen and Camille Goutal. Top notes are Cardamom and Coriander; middle note is Turkish Rose; base notes are Incense and Agarwood (Oud).,https://www.fragrantica.com/perfume/Goutal/Rose-Oud-46009.html
Vanille Charnelle Goutalfor women and men,for women and men,4.17,218,"['vanilla', 'sweet', 'fresh spicy', 'powdery', 'aromatic', 'yellow floral', 'amber', 'warm spicy']",[],"Vanille CharnellebyGoutalis a Amber Floral fragrance for women and men.Vanille Charnellewas launched in 2015. Top notes are Pepper and Ylang-Ylang; middle notes are Vanilla, Tonka Bean and White Musk; base notes are Vanilla Absolute and Vetiver.",https://www.fragrantica.com/perfume/Goutal/Vanille-Charnelle-31764.html
Les Colognes Eau d'Hadrien Goutalfor women and men,for women and men,3.74,139,"['citrus', 'aromatic', 'aldehydic', 'fresh']","['Camille Goutal', 'Isabelle Doyen']",Les Colognes Eau d'HadrienbyGoutalis a Citrus Aromatic fragrance for women and men.Les Colognes Eau d'Hadrienwas launched in 2013. Les Colognes Eau d'Hadrien was created by Isabelle Doyen and Camille Goutal.,https://www.fragrantica.com/perfume/Goutal/Les-Colognes-Eau-d-Hadrien-18250.html
Les Colognes Neroli Goutalfor women and men,for women and men,4.33,139,"['white floral', 'citrus', 'green', 'aromatic', 'fresh', 'fresh spicy', 'soapy']","['Camille Goutal', 'Isabelle Doyen']",Les Colognes NerolibyGoutalis a Floral Fruity fragrance for women and men.Les Colognes Neroliwas launched in 2013. Les Colognes Neroli was created by Isabelle Doyen and Camille Goutal.,https://www.fragrantica.com/perfume/Goutal/Les-Colognes-Neroli-18249.html
Les Colognes Vetiver Goutalfor women and men,for women and men,4.04,109,"['aromatic', 'woody', 'earthy', 'warm spicy', 'green']","['Camille Goutal', 'Isabelle Doyen']",Les Colognes VetiverbyGoutalis a Citrus Aromatic fragrance for women and men.Les Colognes Vetiverwas launched in 2013. Les Colognes Vetiver was created by Isabelle Doyen and Camille Goutal.,https://www.fragrantica.com/perfume/Goutal/Les-Colognes-Vetiver-18248.html
Ambre Fétiche Goutalfor women and men,for women and men,4.28,"1,289","['amber', 'balsamic', 'warm spicy', 'smoky', 'vanilla']","['Camille Goutal', 'Isabelle Doyen']","Ambre FétichebyGoutalis a Amber fragrance for women and men.Ambre Fétichewas launched in 2007. Ambre Fétiche was created by Isabelle Doyen and Camille Goutal. Top notes are Amber, Incense, Labdanum, Vanilla and Styrax; middle notes are Benzoin and Iris; base notes are Leather, Vanilla, Patchouli and Geranium.",https://www.fragrantica.com/perfume/Goutal/Ambre-Fetiche-1658.html
Encens Flamboyant Goutalfor women and men,for women and men,4.13,847,"['fresh spicy', 'aromatic', 'balsamic', 'amber', 'warm spicy', 'woody', 'smoky', 'fresh', 'conifer', 'soft spicy']","['Camille Goutal', 'Isabelle Doyen']","Encens FlamboyantbyGoutalis a Amber fragrance for women and men.Encens Flamboyantwas launched in 2007. Encens Flamboyant was created by Isabelle Doyen and Camille Goutal. Top notes are Incense, Pepper, Pink Pepper and Red Berries; middle notes are Incense, Nutmeg, Cardamom and Sage; base notes are Incense, Balsam Fir and Mastic or Lentisque.",https://www.fragrantica.com/perfume/Goutal/Encens-Flamboyant-1660.html
Musc Nomade Goutalfor women and men,for women and men,4.06,635,"['musky', 'amber', 'woody', 'powdery', 'sweet', 'floral']","['Camille Goutal', 'Isabelle Doyen']",Musc NomadebyGoutalis a Amber Woody fragrance for women and men.Musc Nomadewas launched in 2008. Musc Nomade was created by Camille Goutal and Isabelle Doyen.,https://www.fragrantica.com/perfume/Goutal/Musc-Nomade-3415.html
Étoile d'Une Nuit Goutalfor women,for women,4.16,337,"['iris', 'powdery', 'violet', 'rose', 'earthy', 'woody', 'floral']",['Mathieu Nardin'],"Étoile d'Une NuitbyGoutalis a Floral Fruity fragrance for women.Étoile d'Une Nuitwas launched in 2019. The nose behind this fragrance is Mathieu Nardin. Top notes are Blackberry, Bergamot and Italian Mandarin; middle notes are Iris, Rose and Egyptian Jasmine; base notes are Cashmere Wood, Musk and Vanilla.",https://www.fragrantica.com/perfume/Goutal/Etoile-d-Une-Nuit-55228.html
Folie d'un Soir Goutalfor women,for women,3.78,134,"['amber', 'rose', 'leather', 'warm spicy', 'sweet', 'balsamic', 'animalic', 'soft spicy', 'cacao', 'smoky']",[],Folie d'un SoirbyGoutalis a Floral fragrance for women. This is a new fragrance.Folie d'un Soirwas launched in 2022. Top notes are Turkish Rose and Pink Pepper; middle notes are Myrrh and Olibanum; base notes are Leather and Cacao.,https://www.fragrantica.com/perfume/Goutal/Folie-d-un-Soir-72721.html
Nuit et Confidences Goutalfor women,for women,4.25,767,"['vanilla', 'amber', 'sweet', 'fresh spicy', 'powdery', 'warm spicy', 'balsamic', 'aromatic', 'white floral']","['Camille Goutal', 'Mathieu Nardin']","Nuit et ConfidencesbyGoutalis a Amber fragrance for women.Nuit et Confidenceswas launched in 2017. Nuit et Confidences was created by Camille Goutal and Mathieu Nardin. Top notes are Black Pepper and Bergamot; middle notes are Tonka Bean, Incense and White Flowers; base notes are Vanilla and White Musk.",https://www.fragrantica.com/perfume/Goutal/Nuit-et-Confidences-46239.html
Tenue de Soiree Goutalfor women,for women,3.97,710,"['woody', 'iris', 'fruity', 'powdery', 'patchouli', 'caramel', 'earthy', 'leather', 'animalic', 'floral']",['Mathieu Nardin'],"Tenue de SoireebyGoutalis a Chypre fragrance for women.Tenue de Soireewas launched in 2016. The nose behind this fragrance is Mathieu Nardin. Top notes are Black Currant and Bergamot; middle notes are Iris, Rose and Jasmine; base notes are Patchouli, Caramel, Leather and White Musk.",https://www.fragrantica.com/perfume/Goutal/Tenue-de-Soiree-39469.html
Rose Pompon Eau de Parfum Goutalfor women,for women,4.19,154,"['rose', 'fruity', 'citrus', 'sweet', 'vanilla', 'powdery', 'violet', 'floral']",[],Rose Pompon Eau de ParfumbyGoutalis a Floral fragrance for women.Rose Pompon Eau de Parfumwas launched in 2018. Top notes are Raspberry and Grapefruit; middle notes are Damask Rose and Violet; base note is Vanilla.,https://www.fragrantica.com/perfume/Goutal/Rose-Pompon-Eau-de-Parfum-49597.html
Rose Pompon Eau de Parfum 2020 Goutalfor women,for women,3.75,112,"['rose', 'fruity', 'vanilla', 'sweet', 'powdery', 'violet', 'floral']",[],"Rose Pompon Eau de Parfum 2020byGoutalis a Floral fragrance for women.Rose Pompon Eau de Parfum 2020was launched in 2020. Top notes are Raspberry, Black Currant, Grapefruit and Pink Pepper; middle notes are Bulgarian Rose, Taif Rose and Violet; base notes are Vanilla, Indonesian Patchouli Leaf, Benzoin, Amber and Resin.",https://www.fragrantica.com/perfume/Goutal/Rose-Pompon-Eau-de-Parfum-2020-60253.html
Rose Pompon Eau de Toilette Goutalfor women and men,for women and men,4.01,473,"['fruity', 'rose', 'floral', 'sweet', 'woody', 'fresh', 'soft spicy', 'musky']","['Camille Goutal', 'Philippine Courtière']","Rose Pompon Eau de ToilettebyGoutalis a Floral Fruity fragrance for women and men.Rose Pompon Eau de Toilettewas launched in 2016. Rose Pompon Eau de Toilette was created by Camille Goutal and Philippine Courtière. Top notes are Black Currant, Raspberry and Pink Pepper; middle notes are Rose and Pink Peony; base notes are Musk, Cedar and Patchouli.",https://www.fragrantica.com/perfume/Goutal/Rose-Pompon-Eau-de-Toilette-35107.html
Rose Pompon Eau de Toilette 2020 Goutalfor women,for women,3.89,66,"['rose', 'fruity', 'woody', 'floral', 'soft spicy', 'musky', 'sweet', 'fresh', 'powdery', 'patchouli']",[],"Rose Pompon Eau de Toilette 2020byGoutalis a Floral Fruity fragrance for women.Rose Pompon Eau de Toilette 2020was launched in 2020. Top notes are Black Currant, Raspberry and Pink Pepper; middle notes are Bulgarian Rose, Taif Rose and Peony; base notes are White Musk, Patchouli, Woodsy Notes and Cedar.",https://www.fragrantica.com/perfume/Goutal/Rose-Pompon-Eau-de-Toilette-2020-60254.html
Des Lys Goutalfor women,for women,4.22,79,"['white floral', 'green', 'soft spicy', 'fresh', 'aromatic', 'fruity', 'woody', 'ozonic', 'animalic']",[],Des LysbyGoutalis a Floral Green fragrance for women.Des Lyswas launched in 2003.,https://www.fragrantica.com/perfume/Goutal/Des-Lys-5977.html
Eau de Camille Goutalfor women,for women,3.99,343,"['white floral', 'green', 'fresh', 'ozonic', 'fruity']",['Annick Goutal'],Eau de CamillebyGoutalis a Floral Green fragrance for women.Eau de Camillewas launched in 1983. The nose behind this fragrance is Annick Goutal.,https://www.fragrantica.com/perfume/Goutal/Eau-de-Camille-755.html
Eau de Ciel Eau de Toilette Goutalfor women,for women,4.07,119,"['yellow floral', 'powdery', 'honey', 'sweet', 'beeswax', 'green', 'musky', 'iris', 'woody', 'animalic']",[],Eau de Ciel Eau de ToilettebyGoutalis a Floral fragrance for women.Eau de Ciel Eau de Toilettewas launched in 2015.,https://www.fragrantica.com/perfume/Goutal/Eau-de-Ciel-Eau-de-Toilette-29276.html
Eau de Lavande Goutalfor women and men,for women and men,4.21,53,"['lavender', 'vanilla', 'aromatic', 'warm spicy', 'sweet', 'fresh spicy', 'amber', 'herbal']",['Annick Goutal'],Eau de LavandebyGoutalis a Aromatic fragrance for women and men.Eau de Lavandewas launched in 1981. The nose behind this fragrance is Annick Goutal. middle notes are Lavender and Spices; base notes are Tonka Bean and Vanilla.,https://www.fragrantica.com/perfume/Goutal/Eau-de-Lavande-2752.html
Eau de Monsieur Goutalfor women and men,for women and men,4.21,72,"['mossy', 'citrus', 'woody', 'earthy', 'amber', 'aromatic', 'powdery', 'warm spicy']",['Annick Goutal'],Eau de MonsieurbyGoutalis a Woody Chypre fragrance for women and men.Eau de Monsieurwas launched in 1981. The nose behind this fragrance is Annick Goutal.,https://www.fragrantica.com/perfume/Goutal/Eau-de-Monsieur-2753.html
Eau du Ciel Goutalfor women,for women,4.03,411,"['yellow floral', 'white floral', 'sweet', 'powdery', 'green', 'violet', 'citrus', 'floral', 'fresh', 'iris']",['Annick Goutal'],Eau du CielbyGoutalis a Floral fragrance for women.Eau du Cielwas launched in 1985. The nose behind this fragrance is Annick Goutal.,https://www.fragrantica.com/perfume/Goutal/Eau-du-Ciel-1187.html
Eau du Fier Goutalfor men,for men,4.1,59,"['leather', 'green', 'smoky', 'citrus', 'fresh', 'woody', 'salty', 'fresh spicy', 'floral', 'fruity']",['Isabelle Doyen'],"Eau du FierbyGoutalis a Woody Spicy fragrance for men.Eau du Fierwas launched in 2000. The nose behind this fragrance is Isabelle Doyen. Top notes are Bitter Orange and Mint; middle notes are Tea, Salt, Osmanthus and Clove; base note is Birch.",https://www.fragrantica.com/perfume/Goutal/Eau-du-Fier-11521.html
Folavril Goutalfor women,for women,3.7,185,"['floral', 'aromatic', 'tropical', 'fruity', 'fresh spicy', 'sweet', 'green', 'white floral']",['Annick Goutal'],FolavrilbyGoutalis a Floral Aldehyde fragrance for women.Folavrilwas launched in 1981. The nose behind this fragrance is Annick Goutal.,https://www.fragrantica.com/perfume/Goutal/Folavril-2754.html
