Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Shakespeare in Love A Dozen Rosesfor women,for women,3.62,109,"['rose', 'white floral', 'vanilla', 'woody', 'fruity', 'sweet', 'floral', 'aquatic', 'fresh', 'lactonic']",['Lynn Emmolo'],"Shakespeare in LovebyA Dozen Rosesis a Floral Fruity fragrance for women.Shakespeare in Lovewas launched in 2011. The nose behind this fragrance is Lynn Emmolo. Top note is Pear; middle notes are Rose, Gardenia and Jasmine; base notes are Vanille and Woodsy Notes.",https://www.fragrantica.com/perfume/A-Dozen-Roses/Shakespeare-in-Love-12960.html
Casablanca A la Façon Londonfor men,for men,N/A,N/A,[],[],CasablancabyA la Façon Londonis a fragrance for men.Casablancawas launched in 1974.,https://www.fragrantica.com/perfume/A-la-Facon-London/Casablanca-49627.html
Moonlight Cypress A La Lunefor women and men,for women and men,3.00,2,"['aromatic', 'woody', 'fresh spicy', 'earthy', 'musky']",[],Moonlight CypressbyA La Luneis a Aromatic fragrance for women and men.Moonlight Cypresswas launched in 2021. Top notes are Juniper and Sage; middle notes are Cade oil and Cypriol Oil or Nagarmotha; base notes are Juniper and White Musk.,https://www.fragrantica.com/perfume/A-La-Lune/Moonlight-Cypress-81282.html
Santal Extreme A La Lunefor women and men,for women and men,4.50,2,"['amber', 'warm spicy', 'musky', 'oud']",[],Santal ExtremebyA La Luneis a Amber Spicy fragrance for women and men.Santal Extremewas launched in 2021. Top notes are Angelica and Saffron; middle notes are Amber and Olibanum; base notes are Agarwood and Benzoin.,https://www.fragrantica.com/perfume/A-La-Lune/Santal-Extreme-81281.html
Trinity Blood A La Lunefor women and men,for women and men,1.40,5,"['metallic', 'mineral', 'amber']",[],"Trinity BloodbyA La Luneis a Aromatic Spicy fragrance for women and men.Trinity Bloodwas launched in 2021. Top notes are Metallic notes, Blood and Blackberry; middle notes are Vetiver and Myrtle; base notes are Frankincense and Patchouli.",https://www.fragrantica.com/perfume/A-La-Lune/Trinity-Blood-81283.html
Rouge A La Russefor women,for women,4.12,8,"['vanilla', 'amber', 'balsamic', 'musky', 'powdery', 'sweet', 'fresh spicy', 'woody']",['Sileno Cheloni'],RougebyA La Russeis a Amber Spicy fragrance for women.Rougewas launched in 2014. The nose behind this fragrance is Sileno Cheloni.,https://www.fragrantica.com/perfume/A-La-Russe/Rouge-30007.html
Almost Transparent Blue A Lab on Firefor women and men,for women and men,3.83,157,"['citrus', 'aromatic', 'woody', 'fresh spicy', 'aldehydic', 'green', 'musky', 'fresh', 'sweet', 'powdery']",['Bruno Jovanovic'],Almost Transparent BluebyA Lab on Fireis a Woody Aromatic fragrance for women and men.Almost Transparent Bluewas launched in 2013. The nose behind this fragrance is Bruno Jovanovic.,https://www.fragrantica.com/perfume/A-Lab-on-Fire/Almost-Transparent-Blue-18847.html
Hallucinogenic Pearl A Lab on Firefor women and men,for women and men,3.68,148,"['powdery', 'musky', 'leather', 'violet', 'woody', 'iris', 'floral']",['Emilie Bevierre-Coppermann'],"Hallucinogenic PearlbyA Lab on Fireis a Amber Spicy fragrance for women and men.Hallucinogenic Pearlwas launched in 2018. The nose behind this fragrance is Emilie Bevierre-Coppermann. Top notes are Ambrette (Musk Mallow), Pink Pepper and Bergamot; middle notes are Violet and Orris; base notes are Suede, Musk and White Wood.",https://www.fragrantica.com/perfume/A-Lab-on-Fire/Hallucinogenic-Pearl-48820.html
Hossegor A Lab on Firefor women and men,for women and men,4.25,91,"['aromatic', 'woody', 'marine', 'fresh spicy', 'salty', 'amber']",['Mackenzie Reilly'],"HossegorbyA Lab on Fireis a Woody Aromatic fragrance for women and men.Hossegorwas launched in 2018. The nose behind this fragrance is Mackenzie Reilly. Top notes are Juniper, Sea Salt, Black Pepper and Mastic or Lentisque; middle notes are Solar Notes, Clary Sage, Orris and Olibanum; base notes are Sea Notes, Woodsy Notes, Ambergris, Ambroxan, Vetiver and Musk.",https://www.fragrantica.com/perfume/A-Lab-on-Fire/Hossegor-51574.html
Liquidnight A Lab on Firefor women and men,for women and men,4.15,289,"['aromatic', 'woody', 'fresh spicy', 'citrus', 'amber', 'warm spicy', 'smoky', 'vanilla', 'lavender', 'balsamic']",['Carlos Benaim'],"LiquidnightbyA Lab on Fireis a Woody Spicy fragrance for women and men.Liquidnightwas launched in 2012. The nose behind this fragrance is Carlos Benaim. Top notes are Saffron, Lime and Bergamot; middle notes are Hinoki Wood, Lavender and Sage; base notes are Incense, Vanilla and Musk.",https://www.fragrantica.com/perfume/A-Lab-on-Fire/Liquidnight-16919.html
My Own Private Teahupo'o A Lab on Firefor women and men,for women and men,3.93,89,"['vanilla', 'floral', 'salty', 'ozonic', 'tropical', 'marine', 'amber', 'powdery', 'sweet', 'fruity']",['Laurent Le Guernec'],My Own Private Teahupo'obyA Lab on Fireis a Floral Aquatic fragrance for women and men.My Own Private Teahupo'owas launched in 2017. The nose behind this fragrance is Laurent Le Guernec. Top notes are Sea Salt and Ozonic notes; middle notes are Frangipani and Amyl Salicylate; base notes are Tahitian Vanilla and Amber.,https://www.fragrantica.com/perfume/A-Lab-on-Fire/My-Own-Private-Teahupo-o-44586.html
Oxymusc A Lab on Firefor women and men,for women and men,3.14,14,"['aromatic', 'white floral', 'musky', 'lavender', 'leather', 'fresh spicy', 'vanilla', 'powdery', 'fresh', 'smoky']",['Alberto Morillas'],"OxymuscbyA Lab on Fireis a Aromatic Fougere fragrance for women and men.Oxymuscwas launched in 2014. The nose behind this fragrance is Alberto Morillas. Top note is Lily-of-the-Valley; middle notes are Thyme and Lavender; base notes are Musk, Birch and Bourbon Vanilla.",https://www.fragrantica.com/perfume/A-Lab-on-Fire/Oxymusc-26146.html
Rose Rebelle A Lab on Firefor women,for women,2.98,44,"['rose', 'cacao', 'warm spicy', 'floral']",['Sophia Grojsman'],Rose RebellebyA Lab on Fireis a Floral fragrance for women.Rose Rebellewas launched in 2011. The nose behind this fragrance is Sophia Grojsman.,https://www.fragrantica.com/perfume/A-Lab-on-Fire/Rose-Rebelle-17441.html
Rose Rebelle Respawn A Lab on Firefor women,for women,3.69,132,"['warm spicy', 'cacao', 'green', 'rose', 'floral', 'musky', 'aromatic', 'amber', 'smoky', 'fresh']",['Sophia Grojsman'],"Rose Rebelle RespawnbyA Lab on Fireis a Amber Floral fragrance for women.Rose Rebelle Respawnwas launched in 2013. The nose behind this fragrance is Sophia Grojsman. Top notes are Ivy and Mint; middle notes are Rose and Carnation; base notes are Cacao, Musk and Incense.",https://www.fragrantica.com/perfume/A-Lab-on-Fire/Rose-Rebelle-Respawn-17855.html
Green A Perfume Organicfor women and men,for women and men,3.90,10,"['woody', 'yellow floral', 'sweet', 'rose', 'floral', 'herbal', 'warm spicy', 'earthy']",['Amanda Walker'],GreenbyA Perfume Organicis a Floral Green fragrance for women and men.Greenwas launched in 2009. The nose behind this fragrance is Amanda Walker.,https://www.fragrantica.com/perfume/A-Perfume-Organic/Green-8051.html
Mejica A Perfume Organicfor women and men,for women and men,4.07,14,"['vanilla', 'amber', 'warm spicy', 'balsamic', 'powdery', 'woody', 'sweet']",['Amanda Walker'],MejicabyA Perfume Organicis a Amber Spicy fragrance for women and men.Mejicawas launched in 2010. The nose behind this fragrance is Amanda Walker.,https://www.fragrantica.com/perfume/A-Perfume-Organic/Mejica-10836.html
Perfumed Wine - Rosé A Perfume Organicfor women and men,for women and men,3.78,9,"['fruity', 'woody', 'fresh', 'warm spicy', 'green', 'sweet']",['Amanda Walker'],Perfumed Wine - RosébyA Perfume Organicis a Woody Aromatic fragrance for women and men.Perfumed Wine - Roséwas launched in 2010. The nose behind this fragrance is Amanda Walker.,https://www.fragrantica.com/perfume/A-Perfume-Organic/Perfumed-Wine-Rose-8053.html
Urban Organic A Perfume Organicfor women and men,for women and men,3.40,10,"['citrus', 'aromatic', 'woody', 'warm spicy', 'green', 'fresh spicy', 'earthy', 'fresh']",['Amanda Walker'],Urban OrganicbyA Perfume Organicis a Citrus Aromatic fragrance for women and men.Urban Organicwas launched in 2009. The nose behind this fragrance is Amanda Walker.,https://www.fragrantica.com/perfume/A-Perfume-Organic/Urban-Organic-8052.html
White Magik A Perfume Organicfor women and men,for women and men,3.33,9,"['musky', 'amber', 'powdery', 'white floral', 'aromatic', 'herbal']",['Amanda Walker'],White MagikbyA Perfume Organicis a Floral fragrance for women and men.White Magikwas launched in 2010. The nose behind this fragrance is Amanda Walker.,https://www.fragrantica.com/perfume/A-Perfume-Organic/White-Magik-8054.html
Big Sur A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['rose', 'sweet', 'mossy', 'lavender', 'fruity', 'aromatic', 'vanilla', 'soft spicy', 'earthy', 'amber']",['Jane Cate'],Big SurbyA Wing & A Prayer Perfumesis a Aromatic fragrance for women and men.Big Surwas launched in 2013. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Big-Sur-36060.html
Carmel A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['aromatic', 'marine', 'mossy', 'woody', 'earthy', 'fresh spicy', 'salty']",['Jane Cate'],CarmelbyA Wing & A Prayer Perfumesis a Aromatic fragrance for women and men.Carmelwas launched in 2008. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Carmel-36058.html
Filoli Rose A Wing & A Prayer Perfumesfor women,for women,4.00,2,"['rose', 'floral', 'aquatic']",['Jane Cate'],Filoli RosebyA Wing & A Prayer Perfumesis a Floral Aquatic fragrance for women.Filoli Rosewas launched in 2008. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Filoli-Rose-36061.html
Haight & Ashbury A Wing & A Prayer Perfumesfor women and men,for women and men,4.00,1,"['woody', 'amber', 'balsamic', 'patchouli', 'warm spicy', 'animalic', 'aromatic', 'beeswax', 'rose', 'white floral']",['Jane Cate'],Haight & AshburybyA Wing & A Prayer Perfumesis a Woody Aromatic fragrance for women and men.Haight & Ashburywas launched in 2011. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Haight-Ashbury-36059.html
HOLLY wOUD & VINE A Wing & A Prayer Perfumesfor women and men,for women and men,4.50,2,"['citrus', 'green', 'aromatic', 'fresh spicy', 'fresh', 'white floral', 'oud', 'woody', 'ozonic', 'yellow floral']",['Jane Cate'],"HOLLY wOUD & VINEbyA Wing & A Prayer Perfumesis a Woody Chypre fragrance for women and men.HOLLY wOUD & VINEwas launched in 2013. The nose behind this fragrance is Jane Cate. Top notes are Bitter Orange, Mimosa and Tomato Leaf; middle notes are Violet Leaf, Jasmine Sambac and Neroli; base notes are Galbanum, Agarwood (Oud) and Fir.",https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/HOLLY-wOUD-VINE-36062.html
Napa A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['herbal', 'lavender', 'aromatic', 'floral', 'fresh spicy']",['Jane Cate'],NapabyA Wing & A Prayer Perfumesis a Aromatic fragrance for women and men.Napawas launched in 2008. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Napa-36116.html
Orange County A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['vanilla', 'citrus', 'sweet', 'powdery']",['Jane Cate'],Orange CountybyA Wing & A Prayer Perfumesis a Citrus Aromatic fragrance for women and men.Orange Countywas launched in 2008. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Orange-County-36117.html
Tahoe A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['woody', 'warm spicy', 'powdery', 'balsamic', 'amber']",['Jane Cate'],TahoebyA Wing & A Prayer Perfumesis a Woody Aromatic fragrance for women and men.Tahoewas launched in 2008. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Tahoe-36118.html
Azure Perfume A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['citrus', 'green', 'fresh spicy', 'aromatic', 'herbal']",['Jane Cate'],Azure PerfumebyA Wing & A Prayer Perfumesis a Aromatic fragrance for women and men.Azure Perfumewas launched in 2015. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Azure-Perfume-36332.html
CHANG'E Perfume A Wing & A Prayer Perfumesfor women,for women,4.50,2,"['fruity', 'floral', 'woody', 'amber', 'powdery', 'lactonic', 'citrus', 'white floral', 'sweet', 'fresh']",['Jane Cate'],CHANG'E PerfumebyA Wing & A Prayer Perfumesis a Floral Fruity fragrance for women.CHANG'E Perfumewas launched in 2013. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/CHANG-E-Perfume-36420.html
Dusk A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['earthy', 'citrus', 'mossy', 'woody', 'aromatic', 'sweet']",['Jane Cate'],DuskbyA Wing & A Prayer Perfumesis a Citrus Aromatic fragrance for women and men.Duskwas launched in 2008. The nose behind this fragrance is Jane Cate.,https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Dusk-36418.html
