Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
9am Afnanfor women,for women,3.73,174,"['citrus', 'musky', 'woody', 'aromatic', 'warm spicy', 'lavender', 'mossy', 'fruity', 'earthy', 'white floral']",[],"9ambyAfnanis a fragrance for women. Top notes are Lemon, Mandarin Orange, Cardamom and Pink Pepper; middle notes are Lavender, Green Apple, Orange Blossom and Rose; base notes are Musk, Moss, Cedar and Patchouli.",https://www.fragrantica.com/perfume/Afnan/9am-70706.html
9am Dive Afnanfor women and men,for women and men,4.29,842,"['fruity', 'woody', 'green', 'warm spicy', 'aromatic', 'citrus', 'fresh', 'fresh spicy', 'soft spicy', 'amber']",[],"9am DivebyAfnanis a Aromatic Aquatic fragrance for women and men. This is a new fragrance.9am Divewas launched in 2022. Top notes are Lemon, Mint, Black Currant and Pink Pepper; middle notes are Apple, Incense and Cedar; base notes are Ginger, Sandalwood, Patchouli and Jasmine.",https://www.fragrantica.com/perfume/Afnan/9am-Dive-78611.html
9am pour Femme Afnanfor women,for women,4,68,"['fruity', 'musky', 'amber', 'citrus', 'powdery', 'sweet', 'animalic', 'soft spicy']",[],"9am pour FemmebyAfnanis a Amber fragrance for women. This is a new fragrance.9am pour Femmewas launched in 2022. Top notes are Mandarin Orange, Grapefruit and Bergamot; middle notes are Raspberry and Black Currant; base notes are Musk, Amber and Orange.",https://www.fragrantica.com/perfume/Afnan/9am-pour-Femme-78541.html
9pm Afnanfor men,for men,4.5,"6,865","['vanilla', 'amber', 'warm spicy', 'cinnamon', 'sweet', 'fruity', 'powdery', 'lavender', 'aromatic', 'fresh']",[],"9pmbyAfnanis a Amber Vanilla fragrance for men.9pmwas launched in 2020. Top notes are Apple, Cinnamon, Wild Lavender and Bergamot; middle notes are Orange Blossom and Lily-of-the-Valley; base notes are Vanilla, Tonka Bean, Amber and Patchouli.",https://www.fragrantica.com/perfume/Afnan/9pm-65414.html
9pm pour Femme Afnanfor women,for women,3.49,63,"['woody', 'aromatic', 'rose', 'fruity', 'powdery', 'violet', 'sweet', 'floral', 'fresh spicy']",[],"9pm pour FemmebyAfnanis a Amber Floral fragrance for women. This is a new fragrance.9pm pour Femmewas launched in 2022. Top notes are Raspberry, Violet, Apple and Orange; middle notes are Rose, Iris, Peony and Jasmine; base notes are Cypress, Pine, Cedar and Amber.",https://www.fragrantica.com/perfume/Afnan/9pm-pour-Femme-78544.html
Naseej Al Kiswah Afnanfor women and men,for women and men,3.33,3,"['woody', 'amber', 'leather', 'oud', 'patchouli', 'animalic', 'vanilla', 'warm spicy']",[],"Naseej Al KiswahbyAfnanis a Amber Woody fragrance for women and men.Naseej Al Kiswahwas launched in 2021. Top notes are Patchouli, Tonka Bean and Amber; middle notes are Woodsy Notes and Cedar; base notes are Amber, Leather and Agarwood (Oud).",https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Kiswah-78627.html
Naseej Al Oud Afnanfor women and men,for women and men,4.5,4,"['oud', 'leather', 'woody', 'amber', 'soft spicy', 'animalic', 'fresh spicy', 'rose']",[],"Naseej Al OudbyAfnanis a Leather fragrance for women and men.Naseej Al Oudwas launched in 2021. Top notes are Agarwood (Oud), Pink Pepper, Bergamot and Saffron; middle notes are Woodsy Notes, Rose, Jasmine and Orris; base notes are Agarwood (Oud), Leather and Amber.",https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Oud-78623.html
Naseej Al Ward Afnanfor women and men,for women and men,3.67,3,"['rose', 'oud', 'fruity', 'musky', 'sweet', 'floral', 'powdery', 'woody', 'warm spicy']",[],"Naseej Al WardbyAfnanis a Floral Fruity fragrance for women and men.Naseej Al Wardwas launched in 2021. Top notes are Rose, Raspberry and Saffron; middle notes are Agarwood (Oud) and Patchouli; base notes are Rose, Musk and Cedar.",https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Ward-78624.html
Naseej Al Zafaran Afnanfor women and men,for women and men,4.6,5,"['warm spicy', 'metallic', 'leather', 'fresh spicy', 'woody', 'tobacco', 'aromatic']",[],"Naseej Al ZafaranbyAfnanis a Floral Fruity Gourmand fragrance for women and men.Naseej Al Zafaranwas launched in 2021. Top notes are Saffron, Black Pepper and Cardamom; middle notes are Cedar, Agarwood (Oud) and Rose; base notes are Vetiver and Sweet Notes.",https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Zafaran-78625.html
Afzal Abeer Afnanfor women,for women,N/A,N/A,[],[],Afzal AbeerbyAfnanis a fragrance for women.,https://www.fragrantica.com/perfume/Afnan/Afzal-Abeer-27378.html
Black Oudh Al Haramain Perfumesfor women and men,for women and men,4.12,113,"['woody', 'powdery', 'musky', 'amber', 'patchouli', 'vanilla', 'green', 'warm spicy', 'balsamic', 'animalic']",[],"Black OudhbyAl Haramain Perfumesis a Amber Woody fragrance for women and men. Top note is Musk; middle notes are Cedar and Herbal Notes; base notes are Amber, Patchouli and Vanilla.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Black-Oudh-36596.html
Black Stone Al Haramain Perfumesfor women and men,for women and men,3.92,25,"['white floral', 'musky', 'tuberose', 'green', 'fresh', 'amber', 'oud']",[],"Black StonebyAl Haramain Perfumesis a Woody Chypre fragrance for women and men. Top notes are Agarwood (Oud), Labdanum and Pine Tree Needles; middle notes are Lily-of-the-Valley, Tuberose and Jasmine; base note is Musk.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Black-Stone-48231.html
Bloom Al Haramain Perfumesfor women,for women,3.73,55,"['oud', 'musky', 'rose', 'floral', 'powdery']",[],BloombyAl Haramain Perfumesis a Amber Floral fragrance for women.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Bloom-19864.html
Blue Sugar Al Haramain Perfumesfor women and men,for women and men,4.5,4,"['sweet', 'vanilla', 'citrus', 'coconut', 'lactonic']",[],Blue SugarbyAl Haramain Perfumesis a Floral Fruity Gourmand fragrance for women and men.Blue Sugarwas launched in 2016.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Blue-Sugar-42717.html
Dhahab Al Haramain Perfumesfor women and men,for women and men,4.41,88,"['caramel', 'vanilla', 'sweet', 'citrus', 'powdery', 'musky', 'woody', 'fresh spicy', 'balsamic']",[],DhahabbyAl Haramain Perfumesis a fragrance for women and men. Top notes are Orange and Bergamot; middle notes are Caramel and Cedar; base notes are Vanilla and Musk.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Dhahab-53174.html
Dubai Tower Al Haramain Perfumesfor women and men,for women and men,3.6,10,"['vanilla', 'oud', 'rose', 'woody', 'powdery', 'musky', 'floral', 'sweet']",[],Dubai TowerbyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Dubai-Tower-26555.html
Ehsas Al Haramain Perfumesfor women and men,for women and men,3.11,28,"['woody', 'musky', 'amber', 'white floral', 'powdery', 'rose', 'fresh', 'aromatic', 'animalic', 'warm spicy']",[],"EhsasbyAl Haramain Perfumesis a Amber fragrance for women and men. Top notes are Musk, Ambergris, Woody Notes, Rose, White Flowers, Citruses and Spicy Notes; middle notes are Musk, Ambergris, Woody Notes, Aldehydes, Lily-of-the-Valley, Sea Notes, Geranium and Artemisia; base notes are Musk, Ambergris, Rose, Sandalwood, Tonka Bean, Moss and Guaiac Wood.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Ehsas-26542.html
Entourage Rouge Al Haramain Perfumesfor women and men,for women and men,3.88,16,"['woody', 'fresh spicy', 'aromatic', 'earthy', 'mossy', 'smoky', 'green', 'citrus', 'patchouli', 'warm spicy']",[],"Entourage RougebyAl Haramain Perfumesis a fragrance for women and men. Top notes are Geranium and Bergamot; middle notes are Tea, Smoke and Nutmeg; base notes are Moss, Vetiver, Patchouli and Cedar.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Entourage-Rouge-39348.html
Étoiles Silver Al Haramain Perfumesfor men,for men,3.65,20,"['fresh spicy', 'woody', 'citrus', 'aromatic', 'aquatic', 'fresh', 'powdery']",[],"Étoiles SilverbyAl Haramain Perfumesis a Woody Aromatic fragrance for men. This is a new fragrance.Étoiles Silverwas launched in 2022. Top notes are Bergamot, Water Notes, Clary Sage and Green Apple; middle notes are Nutmeg, Geranium, Lavender and Orange Blossom; base notes are Cedar, Moss, Ambergris and Musk.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Etoiles-Silver-78609.html
Friday Al Haramain Perfumesfor women and men,for women and men,3.65,20,"['citrus', 'floral', 'amber', 'lavender', 'warm spicy', 'aromatic', 'musky', 'fresh spicy', 'powdery', 'fresh']",[],FridaybyAl Haramain Perfumesis a Amber Fougere fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Friday-19809.html
Haneen Al Haramain Perfumesfor women and men,for women and men,3.94,115,"['rose', 'oud', 'powdery', 'woody', 'amber']",[],HaneenbyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Haneen-19810.html
Haramain Detour Eco Al Haramain Perfumesfor women and men,for women and men,4.65,43,"['lavender', 'citrus', 'fresh spicy', 'aromatic', 'oud', 'sweet', 'warm spicy', 'herbal', 'woody', 'floral']",[],"Haramain Detour EcobyAl Haramain Perfumesis a Woody Spicy fragrance for women and men. Top notes are Lavender, Bergamot and Clary Sage; middle notes are Saffron and Praline; base notes are Agarwood and Cedar.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Haramain-Detour-Eco-92657.html
Haramain Dubai Al Haramain Perfumesfor women and men,for women and men,3.5,4,[],[],Haramain DubaibyAl Haramain Perfumesis a fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Haramain-Dubai-53268.html
Haramain Oud Cambodi Al Haramain Perfumesfor women and men,for women and men,3.78,23,"['musky', 'powdery', 'woody', 'vanilla', 'aromatic', 'balsamic', 'warm spicy']",[],"Haramain Oud CambodibyAl Haramain Perfumesis a Amber Woody fragrance for women and men. Top notes are Amyris, Ginger, Leather and Precious Woods; middle notes are Sandalwood, Agarwood (Oud), Guaiac Wood, Patchouli and Cedar; base notes are White Musk, Vanilla, Benzoin, Amber, Incense and Myrhh.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Haramain-Oud-Cambodi-53255.html
Khulasat Al Oudh Al Haramain Perfumesfor men,for men,4.27,168,"['smoky', 'leather', 'amber', 'woody', 'animalic', 'sweet', 'citrus', 'musky']",[],"Khulasat Al OudhbyAl Haramain Perfumesis a Leather fragrance for men. Top notes are Sweet Notes, Rose and Sea Notes; middle notes are Leather, Smoke, Citruses and Woodsy Notes; base notes are Resins, Amber, Musk and Labdanum.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Khulasat-Al-Oudh-53250.html
Lailati Al Haramain Perfumesfor women and men,for women and men,3.8,41,"['floral', 'aromatic', 'woody', 'fresh spicy', 'rose', 'warm spicy', 'citrus', 'musky', 'powdery', 'amber']",[],LailatibyAl Haramain Perfumesis a Amber Floral fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Lailati-19811.html
Mumtaz Al Haramain Perfumesfor women and men,for women and men,3.83,40,"['woody', 'aromatic', 'amber', 'fresh spicy', 'powdery', 'floral', 'warm spicy', 'balsamic', 'herbal']",[],MumtazbyAl Haramain Perfumesis a Woody Floral Musk fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mumtaz-19816.html
Musk Al Haramain Perfumesfor women,for women,4.01,105,"['musky', 'floral', 'powdery', 'fruity', 'green', 'sweet', 'aromatic', 'fresh spicy']",[],MuskbyAl Haramain Perfumesis a Amber Floral fragrance for women.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-19953.html
Musk Al Ghazal Eau de Parfum Al Haramain Perfumesfor women and men,for women and men,3.67,12,"['musky', 'warm spicy', 'fresh spicy', 'sweet', 'anis', 'powdery', 'chocolate', 'soft spicy', 'aromatic', 'vanilla']",[],"Musk Al Ghazal Eau de ParfumbyAl Haramain Perfumesis a Amber fragrance for women and men. Top notes are Caraway and Anise; middle note is Musk; base notes are Spices, Dark Chocolate, Woody Notes and Vanilla.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Al-Ghazal-Eau-de-Parfum-53267.html
Musk Al Haramain Al Haramain Perfumesfor women and men,for women and men,3.94,33,"['musky', 'woody', 'powdery', 'oud', 'warm spicy']",[],Musk Al HaramainbyAl Haramain Perfumesis a Amber Woody fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Al-Haramain-19817.html
Night Dreams Eau de Parfum Al Haramain Perfumesfor women,for women,3.89,18,"['warm spicy', 'woody', 'rose', 'fresh spicy', 'powdery', 'iris', 'aromatic', 'metallic', 'earthy', 'leather']",[],"Night Dreams Eau de ParfumbyAl Haramain Perfumesis a Woody Spicy fragrance for women. Top notes are Water Notes, Orange and Aldehydes; middle notes are Rose, Saffron, Orris, Geranium, Ginger, Black Pepper and Cardamom; base notes are Guaiac Wood, Musk, Cedar, Sandalwood and Sweet Notes.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Night-Dreams-Eau-de-Parfum-53251.html
Nima Al Haramain Perfumesfor women,for women,4.2,5,"['musky', 'woody', 'amber', 'white floral', 'powdery', 'yellow floral', 'animalic', 'sweet']",[],NimabyAl Haramain Perfumesis a Floral Woody Musk fragrance for women. Top notes are White Flowers and Ylang-Ylang; middle notes are Musk and Amber; base note is Woody Notes.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Nima-26545.html
Noora Al Haramain Perfumesfor women and men,for women and men,3.93,513,"['sweet', 'fruity', 'warm spicy', 'powdery', 'honey', 'woody', 'white floral', 'vanilla', 'citrus', 'floral']",[],"NoorabyAl Haramain Perfumesis a Amber fragrance for women and men. Top notes are Big Strawberry, Plum, Saffron, Mandarin Orange, Ginger and Orange; middle notes are Ylang-Ylang, Tuberose, Rose, Jasmine, Lily, Iris and Hyacinth; base notes are Honey, Vanilla, Sandalwood, Dark Chocolate, Agarwood (Oud), Musk, Amber and Patchouli.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Noora-19828.html
Noora Eau de Parfum Al Haramain Perfumesfor women,for women,3.76,29,"['sweet', 'woody', 'citrus', 'white floral', 'fruity', 'musky', 'powdery', 'yellow floral', 'green', 'fresh spicy']",[],"Noora Eau de ParfumbyAl Haramain Perfumesis a Floral Woody Musk fragrance for women. Top notes are Jasmine, Orange, Ylang-Ylang, Bergamot, Green Notes and Rose; middle notes are Jasmine, Woodsy Notes and Fruity Notes; base notes are Sweet Notes, Musk and Sandalwood.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Noora-Eau-de-Parfum-53252.html
Rafia Gold Al Haramain Perfumesfor women,for women,3.86,29,"['woody', 'warm spicy', 'rose', 'aromatic', 'powdery', 'fresh spicy', 'metallic', 'patchouli', 'balsamic', 'leather']",[],"Rafia GoldbyAl Haramain Perfumesis a fragrance for women. Top notes are Saffron, Geranium, Lemon and White Flowers; middle notes are Rose, Sandalwood, Cedar, Aldehydes and Lily-of-the-Valley; base notes are Patchouli, Amber, Amyris and Musk.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Rafia-Gold-39959.html
Rafia Silver Al Haramain Perfumesfor women,for women,4.14,7,"['citrus', 'powdery', 'amber', 'white floral', 'violet', 'rose', 'musky', 'floral', 'fresh']",[],"Rafia SilverbyAl Haramain Perfumesis a Floral fragrance for women. Top notes are Orange and Lemon; middle notes are Violet, Jasmine and Rose; base notes are Musk and Amber.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Rafia-Silver-53258.html
Rahib Al Haramain Perfumesfor women and men,for women and men,3.65,17,"['woody', 'citrus', 'powdery', 'camphor', 'musky', 'amber', 'fresh', 'floral', 'aromatic']",[],RahibbyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Rahib-19847.html
Rahma Al Haramain Perfumesfor women and men,for women and men,3.71,38,"['white floral', 'warm spicy', 'oud', 'floral', 'amber', 'citrus', 'musky', 'powdery', 'patchouli', 'chocolate']",[],RahmabyAl Haramain Perfumesis a Amber Floral fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Rahma-19821.html
Rainbow Al Haramain Perfumesfor women,for women,3.69,42,"['floral', 'white floral', 'amber', 'green', 'fresh spicy', 'powdery', 'yellow floral', 'woody']",[],RainbowbyAl Haramain Perfumesis a Floral fragrance for women.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Rainbow-19940.html
Rawaa Al Haramain Perfumesfor women,for women,4.09,384,"['vanilla', 'white floral', 'warm spicy', 'sweet', 'cacao', 'almond', 'powdery', 'tuberose', 'nutty', 'coffee']",[],"RawaabyAl Haramain Perfumesis a Amber Vanilla fragrance for women.Rawaawas launched in 2018. Top notes are Almond and Coffee; middle notes are Jasmine, Tuberose and Orris; base notes are Cacao Pod, Vanilla, Tonka Bean and Sandalwood.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Rawaa-51826.html
Rawdah Al Haramain Perfumesfor women and men,for women and men,3.5,12,"['woody', 'floral', 'citrus', 'green', 'warm spicy', 'fresh', 'amber']",[],RawdahbyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Rawdah-19860.html
Red African Al Haramain Perfumesfor women and men,for women and men,4.5,26,"['fresh spicy', 'caramel', 'sweet', 'amber', 'balsamic', 'vanilla', 'powdery', 'animalic', 'woody']",[],"Red AfricanbyAl Haramain Perfumesis a Amber Woody fragrance for women and men.Red Africanwas launched in 2017. Top note is Brazilian Rosewood; middle notes are Nutmeg and Caramel; base notes are Ambergris, Vanilla and Musk.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Red-African-61372.html
Sheikh Eau de Parfum Al Haramain Perfumesfor women and men,for women and men,4.21,58,"['aromatic', 'green', 'white floral', 'tobacco', 'fresh spicy', 'fresh', 'floral', 'warm spicy', 'sweet', 'fruity']",[],"Sheikh Eau de ParfumbyAl Haramain Perfumesis a Floral Green fragrance for women and men. Top notes are Rosemary, Citruses and Apple; middle notes are Mint, Spices, Jasmine and Freesia; base notes are Tobacco, Lily-of-the-Valley and Sandalwood.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Sheikh-Eau-de-Parfum-53260.html
Sheikha Al Haramain Perfumesfor women and men,for women and men,3.76,68,"['woody', 'aromatic', 'rose', 'fresh spicy', 'oud', 'powdery', 'amber', 'warm spicy', 'white floral', 'musky']",[],SheikhabyAl Haramain Perfumesis a Amber Floral fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Sheikha-19827.html
Soft Touch Al Haramain Perfumesfor women,for women,3.38,8,"['woody', 'floral', 'powdery', 'vanilla', 'warm spicy']",[],Soft TouchbyAl Haramain Perfumesis a Floral fragrance for women.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Soft-Touch-19862.html
Lak Al Haramain Perfumesfor women and men,for women and men,4.18,44,"['rose', 'musky', 'fruity', 'woody', 'powdery', 'nutty', 'sweet', 'floral']",[],LakbyAl Haramain Perfumesis a Amber Floral fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Lak-19866.html
Leather Oudh Al Haramain Perfumesfor women,for women,4.29,181,"['woody', 'fruity', 'leather', 'sweet', 'amber', 'animalic', 'smoky', 'musky', 'aromatic', 'balsamic']",[],"Leather OudhbyAl Haramain Perfumesis a fragrance for women.Leather Oudhwas launched in 2016. Top notes are Raspberry and Thyme; middle notes are Woody Notes, Incense, Cashmirwood and Jasmine; base notes are Leather, Cedar, Amber and Musk.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Leather-Oudh-40256.html
Meeqat Silver Al Haramain Perfumesfor women and men,for women and men,3.5,8,"['fresh spicy', 'warm spicy', 'powdery', 'musky', 'aromatic', 'woody', 'oud', 'amber', 'rose', 'herbal']",[],Meeqat SilverbyAl Haramain Perfumesis a Amber Woody fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Meeqat-Silver-19853.html
Midnight Musk Al Haramain Perfumesfor women and men,for women and men,4.32,19,"['powdery', 'woody', 'floral', 'musky', 'iris', 'white floral', 'vanilla', 'ozonic', 'herbal', 'fruity']",[],Midnight MuskbyAl Haramain Perfumesis a Floral Woody Musk fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Midnight-Musk-26556.html
Million Al Haramain Perfumesfor women,for women,4.04,197,"['vanilla', 'sweet', 'fruity', 'woody', 'powdery', 'tropical', 'white floral', 'yellow floral', 'amber', 'musky']",[],"MillionbyAl Haramain Perfumesis a Floral Fruity Gourmand fragrance for women. Top notes are Mango, Plum and Bergamot; middle notes are Jasmine, Ylang-Ylang and Rose; base notes are Vanilla, Sandalwood, Amber, Musk and Cedar.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Million-19952.html
