Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,
Cute Grapefruit A'pieufor women,for women,4.67,3,"['citrus', 'fruity', 'sweet', 'fresh', 'fresh spicy', 'rose', 'green']",[],https://www.fragrantica.com/perfume/A-pieu/Cute-Grapefruit-70233.html
Fresh Green Tea A'pieufor women,for women,4,6,"['citrus', 'green', 'white floral', 'powdery', 'woody', 'fresh', 'rose', 'vanilla', 'musky', 'amber']",[],https://www.fragrantica.com/perfume/A-pieu/Fresh-Green-Tea-70235.html
Graceful Rose A'pieufor women,for women,3,1,"['citrus', 'fresh spicy', 'rose', 'aromatic', 'green', 'floral', 'herbal']",[],https://www.fragrantica.com/perfume/A-pieu/Graceful-Rose-70236.html
Lively Basil A'pieufor women,for women,4.12,8,"['aromatic', 'fresh spicy', 'green', 'citrus', 'woody', 'white floral', 'fresh', 'powdery', 'musky', 'herbal']",[],https://www.fragrantica.com/perfume/A-pieu/Lively-Basil-70237.html
Lovely Peony A'pieufor women,for women,3.6,5,"['floral', 'rose', 'fresh', 'white floral', 'fruity', 'leather', 'warm spicy', 'musky']",[],https://www.fragrantica.com/perfume/A-pieu/Lovely-Peony-70238.html
Pure Violet A'pieufor women,for women,4,3,"['floral', 'white floral', 'green', 'rose', 'amber', 'musky', 'fresh', 'powdery', 'sweet', 'fresh spicy']",[],https://www.fragrantica.com/perfume/A-pieu/Pure-Violet-70239.html
Romantic Freesia A'pieufor women,for women,3.6,5,"['citrus', 'floral', 'sweet', 'white floral', 'fresh', 'rose', 'fruity', 'patchouli', 'musky', 'green']",[],https://www.fragrantica.com/perfume/A-pieu/Romantic-Freesia-70240.html
Sweet Plum A'pieufor women,for women,4,4,"['green', 'citrus', 'fruity', 'sweet', 'aromatic', 'fresh spicy', 'musky', 'rose', 'woody', 'powdery']",[],https://www.fragrantica.com/perfume/A-pieu/Sweet-Plum-70241.html
Above and Beyond A13for women and men,for women and men,4.69,16,"['warm spicy', 'woody', 'leather', 'powdery', 'soft spicy', 'metallic', 'oud', 'lavender', 'animalic', 'patchouli']",[],https://www.fragrantica.com/perfume/A13/Above-and-Beyond-82599.html
Behind Closed Doors A13for women and men,for women and men,3.35,43,"['amber', 'balsamic', 'animalic', 'fresh spicy', 'warm spicy', 'citrus', 'musky', 'woody', 'sweet', 'powdery']",['Flavius Calaj'],https://www.fragrantica.com/perfume/A13/Behind-Closed-Doors-72593.html
Out In The Open A13for women and men,for women and men,4.02,90,"['white floral', 'yellow floral', 'animalic', 'powdery', 'sweet', 'musky', 'floral', 'leather', 'honey', 'vanilla']",['Miguel Matos'],https://www.fragrantica.com/perfume/A13/Out-In-The-Open-67678.html
Absolu Fruits Acorellefor women,for women,3.83,6,"['ozonic', 'aquatic', 'fresh', 'fruity', 'sweet', 'vanilla']",[],https://www.fragrantica.com/perfume/Acorelle/Absolu-Fruits-35478.html
Absolu Tiaré Acorellefor women,for women,3.91,58,"['white floral', 'citrus', 'sweet', 'vanilla', 'fruity', 'floral']",[],https://www.fragrantica.com/perfume/Acorelle/Absolu-Tiare-25180.html
Amande de Ble Acorellefor women,for women,3.88,16,"['yellow floral', 'sweet', 'almond', 'fruity', 'nutty', 'floral', 'powdery', 'woody', 'lactonic']",[],https://www.fragrantica.com/perfume/Acorelle/Amande-de-Ble-8456.html
Baies Sauvages Acorellefor women,for women,3.92,12,"['warm spicy', 'green', 'powdery', 'yellow floral', 'floral', 'violet', 'aromatic', 'rose', 'woody', 'sweet']",[],https://www.fragrantica.com/perfume/Acorelle/Baies-Sauvages-8457.html
Cerise Intense Acorellefor women,for women,4.42,12,"['floral', 'fruity', 'fresh', 'sweet', 'white floral', 'woody', 'lactonic']",[],https://www.fragrantica.com/perfume/Acorelle/Cerise-Intense-25186.html
Chypre Essentiel Acorellefor women,for women,3.77,13,"['warm spicy', 'amber', 'patchouli', 'floral', 'woody']",[],https://www.fragrantica.com/perfume/Acorelle/Chypre-Essentiel-25178.html
Citrus Infusion Acorellefor women and men,for women and men,N/A,N/A,[],[],https://www.fragrantica.com/perfume/Acorelle/Citrus-Infusion-36099.html
Coeur De Rose Acorellefor women,for women,3.86,7,"['powdery', 'violet', 'rose', 'floral', 'savory']",[],https://www.fragrantica.com/perfume/Acorelle/Coeur-De-Rose-25182.html
Delicious by Sara La Fountain Acorellefor women,for women,4.5,8,"['sweet', 'vanilla', 'honey', 'almond', 'nutty', 'powdery', 'floral', 'fruity', 'lactonic']",[],https://www.fragrantica.com/perfume/Acorelle/Delicious-by-Sara-La-Fountain-35475.html
Divine Orchidee Acorellefor women,for women,3.76,17,"['warm spicy', 'floral', 'patchouli', 'fruity', 'sweet', 'iris', 'woody', 'earthy', 'powdery', 'vanilla']",[],https://www.fragrantica.com/perfume/Acorelle/Divine-Orchidee-35471.html
Douceur de Rose Acorellefor women,for women,3.36,11,"['rose', 'fruity', 'floral', 'sweet']",[],https://www.fragrantica.com/perfume/Acorelle/Douceur-de-Rose-35469.html
Douceur Vanillée Acorellefor women and men,for women and men,3.6,5,"['vanilla', 'amber', 'balsamic', 'sweet', 'citrus', 'powdery', 'iris', 'woody', 'violet', 'warm spicy']",[],https://www.fragrantica.com/perfume/Acorelle/Douceur-Vanillee-83942.html
Eau De Plage Acorellefor women,for women,N/A,N/A,"['white floral', 'aromatic', 'green', 'fresh spicy', 'warm spicy', 'vanilla', 'floral', 'fruity', 'fresh', 'citrus']",[],https://www.fragrantica.com/perfume/Acorelle/Eau-De-Plage-35479.html
Envolée de Néroli Acorellefor women and men,for women and men,4,4,"['aromatic', 'white floral', 'citrus', 'soft spicy', 'herbal', 'green', 'fresh', 'woody', 'fresh spicy']",[],https://www.fragrantica.com/perfume/Acorelle/Envolee-de-Neroli-83943.html
Exquise Vanille Acorellefor women,for women,4,4,"['vanilla', 'honey', 'sweet', 'citrus', 'powdery']",[],https://www.fragrantica.com/perfume/Acorelle/Exquise-Vanille-35477.html
Fleur de Vanille Acorellefor women,for women,3.87,15,"['vanilla', 'balsamic', 'powdery', 'yellow floral', 'patchouli', 'woody', 'amber', 'sweet', 'warm spicy', 'floral']",[],https://www.fragrantica.com/perfume/Acorelle/Fleur-de-Vanille-35470.html
Fleur Poivrée Acorellefor women,for women,4.27,11,"['floral', 'fresh spicy', 'warm spicy', 'vanilla', 'woody', 'powdery']",[],https://www.fragrantica.com/perfume/Acorelle/Fleur-Poivree-25185.html
Infusion de Neroli Acorellefor women and men,for women and men,3.89,19,"['white floral', 'citrus', 'aromatic', 'fresh', 'green', 'soapy']",[],https://www.fragrantica.com/perfume/Acorelle/Infusion-de-Neroli-35473.html
Jardin des Thes Acorellefor women,for women,3.38,53,"['citrus', 'aromatic', 'fresh spicy', 'green', 'ozonic']",[],https://www.fragrantica.com/perfume/Acorelle/Jardin-des-Thes-8459.html
Jasmin Troublant Acorellefor women,for women,4,8,"['woody', 'iris', 'white floral', 'powdery', 'fruity', 'violet', 'earthy', 'floral', 'sweet']",[],https://www.fragrantica.com/perfume/Acorelle/Jasmin-Troublant-25183.html
Lotus Bambou Acorellefor women and men,for women and men,4,34,"['citrus', 'woody', 'floral', 'aromatic', 'fresh spicy', 'white floral', 'green']",[],https://www.fragrantica.com/perfume/Acorelle/Lotus-Bambou-8460.html
Lotus Blanc Acorellefor women and men,for women and men,3.5,4,"['floral', 'aquatic', 'citrus', 'aromatic', 'fresh', 'green', 'ozonic', 'woody']",[],https://www.fragrantica.com/perfume/Acorelle/Lotus-Blanc-83944.html
Orchidee Blanche Acorellefor women,for women,3.94,36,"['fruity', 'sweet', 'vanilla', 'warm spicy', 'powdery', 'citrus', 'floral', 'aromatic', 'woody', 'white floral']",[],https://www.fragrantica.com/perfume/Acorelle/Orchidee-Blanche-8461.html
Patchouli Essentiel Acorellefor women and men,for women and men,4.37,38,"['amber', 'woody', 'balsamic', 'patchouli', 'warm spicy', 'sweet', 'earthy', 'vanilla', 'aromatic']",[],https://www.fragrantica.com/perfume/Acorelle/Patchouli-Essentiel-35108.html
R de Rose Acorellefor women,for women,3.87,30,"['rose', 'floral', 'fruity', 'fresh spicy', 'aromatic', 'sweet']",[],https://www.fragrantica.com/perfume/Acorelle/R-de-Rose-8462.html
Reve de Lotus Acorellefor women and men,for women and men,3.82,11,"['citrus', 'green', 'aromatic', 'fresh spicy', 'woody', 'leather', 'patchouli', 'fresh', 'earthy', 'powdery']",[],https://www.fragrantica.com/perfume/Acorelle/Reve-de-Lotus-35472.html
Sauge Marine Acorellefor women and men,for women and men,N/A,N/A,"['aromatic', 'citrus', 'woody', 'herbal', 'soft spicy']",[],https://www.fragrantica.com/perfume/Acorelle/Sauge-Marine-35476.html
Sous La Canopée Acorellefor women and men,for women and men,3.4,5,"['woody', 'warm spicy', 'citrus', 'fresh spicy']",[],https://www.fragrantica.com/perfume/Acorelle/Sous-La-Canopee-83941.html
Sublime Tubéreuse Acorellefor women and men,for women and men,3.33,3,"['tuberose', 'white floral', 'amber', 'citrus', 'musky', 'animalic', 'woody', 'balsamic', 'green', 'aromatic']",[],https://www.fragrantica.com/perfume/Acorelle/Sublime-Tubereuse-83945.html
Tendre Patchouli Acorellefor women and men,for women and men,3.71,7,"['warm spicy', 'woody', 'caramel', 'cinnamon', 'patchouli', 'white floral', 'balsamic']",[],https://www.fragrantica.com/perfume/Acorelle/Tendre-Patchouli-83940.html
Terre de Cèdre Acorellefor women and men,for women and men,3.54,28,"['woody', 'citrus', 'aromatic', 'earthy', 'leather', 'fresh']",[],https://www.fragrantica.com/perfume/Acorelle/Terre-de-Cedre-25179.html
Vanille Ambree Acorellefor women,for women,4.07,44,"['vanilla', 'almond', 'sweet', 'powdery', 'balsamic', 'yellow floral', 'nutty', 'patchouli', 'fruity', 'floral']",[],https://www.fragrantica.com/perfume/Acorelle/Vanille-Ambree-8463.html
Vanille Gardenia Acorellefor women,for women,3.22,9,"['citrus', 'vanilla', 'coconut', 'sweet', 'white floral', 'powdery', 'musky', 'green', 'aromatic', 'lactonic']",[],https://www.fragrantica.com/perfume/Acorelle/Vanille-Gardenia-25184.html
Velvet Rose Acorellefor women,for women,3.9,10,"['rose', 'floral', 'fresh spicy', 'aromatic', 'fresh', 'fruity', 'herbal']",['Katell Plisson'],https://www.fragrantica.com/perfume/Acorelle/Velvet-Rose-66851.html
Verveine Agrumes Acorellefor women,for women,4,25,"['citrus', 'aromatic', 'fresh spicy']",[],https://www.fragrantica.com/perfume/Acorelle/Verveine-Agrumes-8464.html
Acqua di Parma Colonia Acqua di Parmafor women and men,for women and men,4.16,"3,206","['citrus', 'aromatic', 'fresh spicy', 'woody', 'lavender', 'fresh']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html
Acqua di Parma Colonia Assoluta Acqua di Parmafor women and men,for women and men,4.22,"1,147","['citrus', 'woody', 'aromatic', 'earthy', 'fresh spicy', 'yellow floral', 'sweet', 'warm spicy']","['Bertrand Duchaufour', 'Jean-Claude Ellena']",https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-1682.html
Acqua di Parma Colonia Assoluta Edizione Riviera Acqua di Parmafor women,for women,3.62,13,"['citrus', 'woody', 'aromatic', 'fresh spicy', 'rose', 'sweet']","['Bertrand Duchaufour', 'Jean-Claude Ellena']",https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-Edizione-Riviera-1680.html
Acqua di Parma Colonia Assoluta Edizione Speciale 2011 Acqua di Parmafor women and men,for women and men,3.5,8,"['aromatic', 'fresh spicy', 'lavender', 'white floral', 'citrus', 'amber', 'rose', 'musky', 'woody', 'floral']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-Edizione-Speciale-2011-12532.html
Acqua di Parma Colonia Designer Edition Acqua di Parmafor women and men,for women and men,4,11,"['citrus', 'amber', 'fresh spicy', 'fresh', 'aromatic', 'lavender', 'musky', 'rose', 'powdery', 'floral']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Designer-Edition-13806.html
Acqua di Parma Iris Nobile Edizione Speciale 2008 Acqua di Parmafor women,for women,4.18,88,"['iris', 'powdery', 'citrus', 'earthy', 'woody', 'violet', 'vanilla', 'mossy', 'yellow floral', 'patchouli']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-Edizione-Speciale-2008-5068.html
Acqua di Parma Magnolia Nobile Acqua di Parmafor women,for women,4.13,"2,396","['citrus', 'floral', 'white floral', 'aromatic', 'woody']",['Antoine Maisondieu'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Magnolia-Nobile-6483.html
Acqua di Parma Magnolia Nobile Special Edition Acqua di Parmafor women,for women,3.87,47,"['floral', 'citrus', 'woody', 'white floral', 'vanilla', 'aromatic', 'rose', 'powdery', 'tuberose', 'earthy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Magnolia-Nobile-Special-Edition-10204.html
Acqua di Parma Profumo Acqua di Parmafor women,for women,4.3,264,"['woody', 'rose', 'yellow floral', 'white floral', 'floral', 'sweet', 'aromatic', 'earthy', 'musky', 'powdery']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-1683.html
Acqua di Parma Profumo 2008 Acqua di Parmafor women,for women,4.29,116,"['woody', 'amber', 'earthy', 'floral', 'mossy', 'yellow floral', 'white floral', 'rose', 'citrus', 'patchouli']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-2008-5069.html
Colonia Artist Edition by Clym Evernden Acqua di Parmafor women and men,for women and men,4.75,4,"['woody', 'aromatic', 'citrus', 'earthy', 'powdery', 'fresh spicy', 'fresh', 'warm spicy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Artist-Edition-by-Clym-Evernden-52150.html
Colonia Essenza Special Edition 2015 Acqua di Parmafor men,for men,4.44,45,"['citrus', 'aromatic', 'white floral', 'fresh spicy', 'woody', 'green', 'warm spicy', 'earthy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Essenza-Special-Edition-2015-31663.html
Colonia Futura Acqua di Parmafor women and men,for women and men,3.83,614,"['citrus', 'aromatic', 'fresh spicy', 'woody', 'lavender', 'herbal', 'soft spicy', 'earthy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Futura-62332.html
Colonia Intensa Acqua di Parmafor men,for men,4.26,"1,935","['citrus', 'warm spicy', 'aromatic', 'woody', 'fresh spicy', 'leather', 'fresh', 'herbal', 'amber']","['Alberto Morillas', 'François Demachy']",https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-1684.html
Essenza di Colonia Acqua di Parmafor men,for men,4.34,"3,366","['citrus', 'aromatic', 'white floral', 'fresh spicy', 'woody', 'green']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Essenza-di-Colonia-9829.html
Gelsomino Nobile Edizione Speciale Acqua di Parmafor women,for women,3.78,32,"['white floral', 'citrus', 'tuberose', 'musky', 'woody', 'animalic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Gelsomino-Nobile-Edizione-Speciale-23906.html
Iris Nobile 10th Anniversary Special Edition Acqua di Parmafor women,for women,3.96,24,"['powdery', 'citrus', 'yellow floral', 'floral', 'sweet', 'woody', 'white floral', 'iris', 'soft spicy', 'anis']","['Francis Kurkdjian', 'Francoise Caron']",https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-10th-Anniversary-Special-Edition-25511.html
Iris Nobile Edizione Speziale Acqua di Parmafor women,for women,3.86,49,"['citrus', 'iris', 'woody', 'yellow floral', 'earthy', 'floral', 'sweet', 'powdery', 'musky', 'anis']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-Edizione-Speziale-8383.html
Iris Nobile Sublime Acqua di Parmafor women,for women,4.04,258,"['white floral', 'citrus', 'iris', 'woody', 'sweet', 'powdery', 'yellow floral', 'violet', 'floral']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-Sublime-15724.html
Acqua di Parma Colonia Edizione Centenario Acqua di Parmafor women and men,for women and men,3.75,4,"['citrus', 'aromatic', 'woody', 'fresh spicy', 'powdery', 'white floral', 'lavender', 'musky', 'rose', 'earthy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Edizione-Centenario-42460.html
Acqua di Parma Colonia Pura Acqua di Parmafor women and men,for women and men,4.01,"1,203","['citrus', 'ozonic', 'aromatic', 'fresh spicy', 'white floral', 'green', 'woody', 'musky', 'yellow floral', 'powdery']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Pura-45876.html
Acqua di Parma Gelsomino Nobile Acqua di Parmafor women,for women,4.09,893,"['white floral', 'tuberose', 'citrus']","['François Demachy', 'Michel Almairac']",https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Gelsomino-Nobile-12921.html
Acqua di Parma Iris Nobile Acqua di Parmafor women,for women,4.01,"1,874","['white floral', 'powdery', 'citrus', 'yellow floral', 'iris', 'tuberose', 'sweet', 'floral', 'woody', 'violet']","['Francis Kurkdjian', 'Francoise Caron']",https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-1564.html
Colonia Assoluta Edizione Speciale 2013 Acqua di Parmafor women and men,for women and men,4.43,14,"['citrus', 'woody', 'warm spicy', 'aromatic', 'earthy', 'musky', 'sweet', 'mossy', 'yellow floral', 'white floral']","['Bertrand Duchaufour', 'Jean-Claude Ellena']",https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Assoluta-Edizione-Speciale-2013-19636.html
Colonia Assoluta In Villa Acqua di Parmafor women and men,for women and men,4.44,32,"['woody', 'citrus', 'warm spicy', 'fresh']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Assoluta-In-Villa-5859.html
Colonia C.L.U.B. Acqua di Parmafor men,for men,3.96,366,"['aromatic', 'fresh spicy', 'citrus', 'woody', 'green', 'musky', 'powdery']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-C-L-U-B-72707.html
Colonia Club Acqua di Parmafor women and men,for women and men,4.02,"1,252","['aromatic', 'citrus', 'green', 'fresh spicy', 'lavender']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Club-31424.html
Magnolia Nobile Special Edition Acqua di Parmafor women,for women,3.95,44,"['citrus', 'floral', 'white floral', 'woody', 'tuberose', 'fresh', 'rose', 'fresh spicy', 'aromatic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Magnolia-Nobile-Special-Edition-14629.html
Magnolia Nobile Special Edition 2016 Acqua di Parmafor women,for women,3.96,54,"['citrus', 'woody', 'floral', 'white floral', 'aromatic', 'rose', 'tuberose', 'powdery', 'vanilla', 'earthy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Magnolia-Nobile-Special-Edition-2016-35351.html
Peonia Nobile Acqua di Parmafor women,for women,3.78,"1,120","['rose', 'floral', 'fresh spicy', 'fresh', 'fruity', 'sweet', 'warm spicy', 'patchouli', 'aromatic']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Peonia-Nobile-40154.html
Peonia Nobile Edizione Speciale Acqua di Parmafor women,for women,3.89,35,"['floral', 'fresh', 'amber', 'rose', 'fresh spicy', 'fruity', 'warm spicy', 'patchouli', 'sweet', 'aromatic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Peonia-Nobile-Edizione-Speciale-43256.html
Profumo Eau de Parfum Acqua di Parmafor women,for women,4.44,231,"['woody', 'floral', 'yellow floral', 'amber', 'rose', 'musky', 'aromatic', 'powdery', 'earthy', 'citrus']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Profumo-Eau-de-Parfum-6909.html
Rosa Nobile Acqua di Parmafor women,for women,3.92,"1,394","['rose', 'floral', 'fresh', 'citrus', 'powdery', 'musky', 'fresh spicy', 'violet', 'woody']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Rosa-Nobile-26577.html
Rosa Nobile Edizione Speciale Acqua di Parmafor women,for women,3.95,19,"['floral', 'rose', 'citrus', 'fresh', 'powdery', 'violet', 'fresh spicy', 'woody', 'amber', 'white floral']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Rosa-Nobile-Edizione-Speciale-34647.html
Acqua Nobile Gelsomino Acqua di Parmafor women,for women,4.13,202,"['citrus', 'white floral', 'aromatic', 'fresh spicy', 'green']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Gelsomino-17384.html
Acqua Nobile Iris Acqua di Parmafor women,for women,4.09,208,"['citrus', 'white floral', 'iris', 'powdery']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Iris-17487.html
Acqua Nobile Magnolia Acqua di Parmafor women,for women,4.05,195,"['citrus', 'floral', 'white floral', 'fresh']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Magnolia-17486.html
Acqua Nobile Rosa Acqua di Parmafor women,for women,3.87,142,"['rose', 'floral', 'citrus', 'fruity', 'musky', 'fresh spicy', 'powdery', 'animalic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Rosa-29971.html
Acqua di Parma Blu Mediterraneo - Arancia La Spugnatura Acqua di Parmafor women and men,for women and men,4.11,202,"['citrus', 'fresh spicy', 'sweet']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-La-Spugnatura-80686.html
Acqua di Parma Blu Mediterraneo - Cipresso di Toscana Acqua di Parmafor women and men,for women and men,3.96,793,"['aromatic', 'woody', 'fresh spicy', 'green', 'herbal']",['Bertrand Duchaufour'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Cipresso-di-Toscana-1686.html
Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parmafor women and men,for women and men,4.32,"6,191","['citrus', 'woody', 'fruity', 'sweet', 'fresh spicy', 'aromatic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html
Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna Acqua di Parmafor women and men,for women and men,4.2,896,"['fresh spicy', 'aromatic', 'woody']",['Mélanie Carestia'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Ginepro-di-Sardegna-23851.html
Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia Acqua di Parmafor women and men,for women and men,4.12,"4,088","['vanilla', 'almond', 'sweet', 'powdery', 'fruity', 'soft spicy', 'anis', 'nutty', 'floral', 'citrus']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Mandorlo-di-Sicilia-1688.html
Acqua di Parma Blu Mediterraneo Arancia di Capri Acqua di Parmafor women and men,for women and men,4.15,"2,969",['citrus'],[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parmafor women and men,for women and men,4.13,"2,131","['citrus', 'woody', 'aromatic', 'fresh spicy', 'warm spicy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Bergamotto-di-Calabria-7826.html
Acqua di parma Blue Mediterraneo - Mirto di Panarea Acqua di Parmafor women and men,for women and men,4.1,"2,568","['aromatic', 'fresh spicy', 'citrus', 'herbal', 'woody', 'marine']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-parma-Blue-Mediterraneo-Mirto-di-Panarea-3108.html
Bergamotto di Calabria La Spugnatura Acqua di Parmafor women and men,for women and men,4.17,204,"['citrus', 'fresh spicy', 'aromatic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Bergamotto-di-Calabria-La-Spugnatura-66175.html
Blu Mediterraneo Foglie di Basilico Acqua di Parmafor women and men,for women and men,4.5,22,"['fresh spicy', 'aromatic', 'green', 'herbal']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Blu-Mediterraneo-Foglie-di-Basilico-6095.html
Blu Mediterraneo Quercia Marina Acqua di Parmafor women and men,for women and men,4.16,19,"['aromatic', 'green', 'marine', 'woody', 'aquatic', 'fresh spicy', 'floral', 'warm spicy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Blu-Mediterraneo-Quercia-Marina-6096.html
Cedro di Taormina Acqua di Parmafor women and men,for women and men,4.18,691,"['woody', 'fresh spicy', 'aromatic', 'citrus', 'green', 'lavender', 'fresh', 'herbal']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Cedro-di-Taormina-35398.html
Chinotto di Liguria Acqua di Parmafor women and men,for women and men,3.89,752,"['aromatic', 'citrus', 'fresh spicy', 'warm spicy', 'musky', 'woody', 'white floral']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Chinotto-di-Liguria-48940.html
Mandarino di Sicilia Acqua di Parmafor women and men,for women and men,4.41,132,"['citrus', 'green', 'fresh spicy']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Mandarino-di-Sicilia-92455.html
Mandarino Millesimato 2022 Acqua di Parmafor women and men,for women and men,4.58,26,"['citrus', 'green', 'fresh spicy', 'aromatic', 'woody']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Mandarino-Millesimato-2022-92459.html
Mirto Di Panarea Forte Special Edition Eau De Toilette Acqua di Parmafor women and men,for women and men,4.38,77,"['aromatic', 'fresh spicy', 'herbal', 'citrus', 'marine', 'woody']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Mirto-Di-Panarea-Forte-Special-Edition-Eau-De-Toilette-73942.html
Mirto di Panarea Limited Edition Acqua di Parmafor women and men,for women and men,3.97,37,"['aromatic', 'fresh spicy', 'citrus', 'marine', 'herbal', 'woody']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Mirto-di-Panarea-Limited-Edition-64668.html
Colonia Ambra Acqua di Parmafor men,for men,4.08,588,"['musky', 'amber', 'marine', 'animalic', 'powdery', 'aromatic', 'salty', 'balsamic', 'aquatic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Ambra-30427.html
Colonia Ebano Acqua di Parmafor men,for men,4.03,314,"['woody', 'warm spicy', 'honey', 'amber', 'aromatic', 'citrus', 'earthy', 'balsamic']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Ebano-43409.html
Colonia Intensa Oud Eau de Cologne Concentree Acqua di Parmafor men,for men,4.35,992,"['oud', 'leather', 'citrus', 'aromatic', 'animalic', 'fresh', 'fresh spicy', 'woody', 'musky', 'smoky']",[],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-Oud-Eau-de-Cologne-Concentree-15519.html
Colonia Leather Eau de Cologne Concentrée Acqua di Parmafor men,for men,4.42,"1,485","['leather', 'woody', 'animalic', 'citrus', 'smoky', 'rose']",['François Demachy'],https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Leather-Eau-de-Cologne-Concentree-25349.html
