Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,
Hossegor A Lab on Firefor women and men,for women and men,4.25,91,"['aromatic', 'woody', 'marine', 'fresh spicy', 'salty', 'amber']",['Mackenzie Reilly'],https://www.fragrantica.com/perfume/A-Lab-on-Fire/Hossegor-51574.html
Liquidnight A Lab on Firefor women and men,for women and men,4.15,289,"['aromatic', 'woody', 'fresh spicy', 'citrus', 'amber', 'warm spicy', 'smoky', 'vanilla', 'lavender', 'balsamic']",['Carlos Benaim'],https://www.fragrantica.com/perfume/A-Lab-on-Fire/Liquidnight-16919.html
My Own Private Teahupo'o A Lab on Firefor women and men,for women and men,3.93,89,"['vanilla', 'floral', 'salty', 'ozonic', 'tropical', 'marine', 'amber', 'powdery', 'sweet', 'fruity']",['Laurent Le Guernec'],https://www.fragrantica.com/perfume/A-Lab-on-Fire/My-Own-Private-Teahupo-o-44586.html
Oxymusc A Lab on Firefor women and men,for women and men,3.14,14,"['aromatic', 'white floral', 'musky', 'lavender', 'leather', 'fresh spicy', 'vanilla', 'powdery', 'fresh', 'smoky']",['Alberto Morillas'],https://www.fragrantica.com/perfume/A-Lab-on-Fire/Oxymusc-26146.html
Rose Rebelle A Lab on Firefor women,for women,2.98,44,"['rose', 'cacao', 'warm spicy', 'floral']",['Sophia Grojsman'],https://www.fragrantica.com/perfume/A-Lab-on-Fire/Rose-Rebelle-17441.html
Rose Rebelle Respawn A Lab on Firefor women,for women,3.69,132,"['warm spicy', 'cacao', 'green', 'rose', 'floral', 'musky', 'aromatic', 'amber', 'smoky', 'fresh']",['Sophia Grojsman'],https://www.fragrantica.com/perfume/A-Lab-on-Fire/Rose-Rebelle-Respawn-17855.html
Green A Perfume Organicfor women and men,for women and men,3.9,10,"['woody', 'yellow floral', 'sweet', 'rose', 'floral', 'herbal', 'warm spicy', 'earthy']",['Amanda Walker'],https://www.fragrantica.com/perfume/A-Perfume-Organic/Green-8051.html
Mejica A Perfume Organicfor women and men,for women and men,4.07,14,"['vanilla', 'amber', 'warm spicy', 'balsamic', 'powdery', 'woody', 'sweet']",['Amanda Walker'],https://www.fragrantica.com/perfume/A-Perfume-Organic/Mejica-10836.html
Perfumed Wine - Rosé A Perfume Organicfor women and men,for women and men,3.78,9,"['fruity', 'woody', 'fresh', 'warm spicy', 'green', 'sweet']",['Amanda Walker'],https://www.fragrantica.com/perfume/A-Perfume-Organic/Perfumed-Wine-Rose-8053.html
Urban Organic A Perfume Organicfor women and men,for women and men,3.4,10,"['citrus', 'aromatic', 'woody', 'warm spicy', 'green', 'fresh spicy', 'earthy', 'fresh']",['Amanda Walker'],https://www.fragrantica.com/perfume/A-Perfume-Organic/Urban-Organic-8052.html
White Magik A Perfume Organicfor women and men,for women and men,3.33,9,"['musky', 'amber', 'powdery', 'white floral', 'aromatic', 'herbal']",['Amanda Walker'],https://www.fragrantica.com/perfume/A-Perfume-Organic/White-Magik-8054.html
Big Sur A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['rose', 'sweet', 'mossy', 'lavender', 'fruity', 'aromatic', 'vanilla', 'soft spicy', 'earthy', 'amber']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Big-Sur-36060.html
Carmel A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['aromatic', 'marine', 'mossy', 'woody', 'earthy', 'fresh spicy', 'salty']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Carmel-36058.html
Filoli Rose A Wing & A Prayer Perfumesfor women,for women,4,2,"['rose', 'floral', 'aquatic']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Filoli-Rose-36061.html
Haight & Ashbury A Wing & A Prayer Perfumesfor women and men,for women and men,4,1,"['woody', 'amber', 'balsamic', 'patchouli', 'warm spicy', 'animalic', 'aromatic', 'beeswax', 'rose', 'white floral']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Haight-Ashbury-36059.html
