Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
1270 Frapinfor women and men,for women and men,4.24,"2,965","['sweet', 'fruity', 'woody', 'honey', 'vanilla', 'warm spicy', 'amber']",['Sidonie Lancesseur'],"1270byFrapinis a Amber Spicy fragrance for women and men.1270was launched in 2010. The nose behind this fragrance is Sidonie Lancesseur. Top notes are Pineapple, Resin, Dried Plum, Cacao, Tonka Bean, Orange and Coffee; middle notes are Dried Fruits, Spices, Hazelnut, Lime (Linden) Blossom and Flowers; base notes are White Honey, Vanilla, Woodsy Notes and Guaiac Wood.",https://www.fragrantica.com/perfume/Frapin/1270-5325.html
1270 Extrême Frapinfor women and men,for women and men,4.10,261,"['woody', 'fruity', 'sweet', 'vanilla', 'aromatic', 'fresh', 'green', 'white floral', 'balsamic', 'tropical']",['Jérôme Epinette'],"1270 ExtrêmebyFrapinis a Floral fragrance for women and men. This is a new fragrance.1270 Extrêmewas launched in 2022. The nose behind this fragrance is Jérôme Epinette. Top notes are Pineapple, Apple, Elemi resin and Bergamot; middle notes are Cedar, Jasmine Sambac, Vine and Rose; base notes are Tonka Bean, Vanilla, Guaiac Wood and Patchouli.",https://www.fragrantica.com/perfume/Frapin/1270-Extreme-72841.html
1697 Frapinfor women and men,for women and men,3.62,827,"['warm spicy', 'woody', 'sweet', 'rum', 'amber', 'vanilla', 'fruity', 'cinnamon', 'powdery', 'floral']",['Bertrand Duchaufour'],"1697byFrapinis a Amber Spicy fragrance for women and men.1697was launched in 2011. The nose behind this fragrance is Bertrand Duchaufour. Top notes are Rum, Pink Pepper, French labdanum and Artemisia; middle notes are Dried Fruits, Cinnamon, Clove, Hawthorn, Ylang-Ylang, Rose and Jasmine; base notes are Vanille, Tonka Bean, Amber, Patchouli, Virginia Cedar and Musk.",https://www.fragrantica.com/perfume/Frapin/1697-11418.html
Attendre & Espérer Frapinfor women and men,for women and men,3.69,72,"['woody', 'aromatic', 'earthy', 'nutty', 'warm spicy', 'citrus', 'fresh spicy']",['Meabh McCurtin'],"Attendre & EspérerbyFrapinis a Woody Spicy fragrance for women and men. This is a new fragrance.Attendre & Espérerwas launched in 2023. The nose behind this fragrance is Meabh McCurtin. Top notes are Black Pepper, Citron and Neroli; middle notes are Cardamom and Iris; base notes are Haitian Vetiver, Walnut and Atlas Cedar.",https://www.fragrantica.com/perfume/Frapin/Attendre-Esperer-80473.html
Patchouli Franck Bocletfor men,for men,3.84,147,"['woody', 'patchouli', 'amber', 'warm spicy', 'powdery', 'vanilla', 'balsamic', 'earthy', 'musky']",['Melanie Leroux'],"PatchoulibyFranck Bocletis a Amber Spicy fragrance for men.Patchouliwas launched in 2013. The nose behind this fragrance is Melanie Leroux. Top notes are Patchouli, Sandalwood and Cedar; middle notes are Amber, Tonka Bean and Benzoin; base notes are Musk and Vanilla.",https://www.fragrantica.com/perfume/Franck-Boclet/Patchouli-18113.html
Tobacco Franck Bocletfor men,for men,4.26,"2,761","['warm spicy', 'sweet', 'vanilla', 'tobacco', 'fruity', 'amber', 'powdery']",[],"TobaccobyFranck Bocletis a Amber Woody fragrance for men.Tobaccowas launched in 2014. Top notes are Tobacco, Plum and Ginger; middle notes are Cloves, Tonka Bean and Cedar; base notes are Vanilla, Benzoin and Vetiver.",https://www.fragrantica.com/perfume/Franck-Boclet/Tobacco-29147.html
Tonka Franck Bocletfor men,for men,3.89,218,"['woody', 'amber', 'balsamic', 'warm spicy', 'sweet', 'almond', 'fresh', 'green', 'vanilla', 'fruity']",[],"TonkabyFranck Bocletis a Woody Spicy fragrance for men.Tonkawas launched in 2015. Top notes are Fig Leaf, Lemon and Ginger; middle notes are Almond, White Peach and Cedar; base notes are Tonka Bean, Peru Balsam and Sandalwood.",https://www.fragrantica.com/perfume/Franck-Boclet/Tonka-29155.html
Vanille Franck Bocletfor women and men,for women and men,4.09,837,"['citrus', 'vanilla', 'caramel', 'sweet', 'warm spicy', 'powdery', 'aromatic', 'woody', 'balsamic']",[],"VanillebyFranck Bocletis a Amber Spicy fragrance for women and men.Vanillewas launched in 2015. Top notes are Lime, Grapefruit and Cardamom; middle notes are Caramel, Ginger and Flowers; base notes are Vanilla Absolute, Cedar and Musk.",https://www.fragrantica.com/perfume/Franck-Boclet/Vanille-29153.html
Vetiver Franck Bocletfor women and men,for women and men,2.81,32,"['citrus', 'white floral', 'woody', 'aromatic', 'musky', 'powdery', 'fresh spicy', 'earthy']",['Bruno Herve'],"VetiverbyFranck Bocletis a fragrance for women and men.Vetiverwas launched in 2018. The nose behind this fragrance is Bruno Herve. Top notes are Bergamot, Lemon and Orange; middle notes are Vetiver, Orange Blossom, Lily-of-the-Valley, Rose and Jasmine; base notes are Vetiver, Musk, Sandalwood, Cedar and Chive.",https://www.fragrantica.com/perfume/Franck-Boclet/Vetiver-49353.html
Violet Franck Bocletfor women and men,for women and men,3.50,110,"['fresh spicy', 'woody', 'warm spicy', 'violet', 'powdery', 'floral', 'aromatic']",[],"VioletbyFranck Bocletis a Floral Woody Musk fragrance for women and men.Violetwas launched in 2016. Top notes are Black and Pink Pepper, Nutmeg, Cardamom and Citruses; middle note is Violet; base note is Woody Notes.",https://www.fragrantica.com/perfume/Franck-Boclet/Violet-38127.html
Ylang Ylang Franck Bocletfor women and men,for women and men,3.69,272,"['caramel', 'sweet', 'yellow floral', 'amber', 'woody', 'citrus', 'powdery', 'iris', 'white floral', 'musky']",[],"Ylang YlangbyFranck Bocletis a Floral fragrance for women and men.Ylang Ylangwas launched in 2017. Top notes are Mandarin Orange, Incense and Bergamot; middle notes are Ylang-Ylang, Jasmine and Iris; base notes are Caramel, Amber, Musk and Vetiver.",https://www.fragrantica.com/perfume/Franck-Boclet/Ylang-Ylang-44138.html
Made Of Sand Franck Bocletfor women and men,for women and men,3.83,6,"['woody', 'aromatic', 'camphor', 'fresh spicy', 'musky', 'powdery']",[],"Made Of SandbyFranck Bocletis a fragrance for women and men. This is a new fragrance.Made Of Sandwas launched in 2022. Top notes are Camphor, Juniper and Cardamom; middle notes are Eucalyptus, Geranium and Driftwood; base notes are Cashmeran, Cedar, Vetiver and Oakmoss.",https://www.fragrantica.com/perfume/Franck-Boclet/Made-Of-Sand-74923.html
Rock N Raï Franck Bocletfor women and men,for women and men,4.11,9,"['woody', 'citrus', 'aromatic', 'patchouli', 'earthy', 'fresh spicy', 'white floral', 'musky', 'warm spicy', 'green']",[],"Rock N RaïbyFranck Bocletis a Leather fragrance for women and men. This is a new fragrance.Rock N Raïwas launched in 2022. Top notes are Lime, Rosemary, Lemon, Bergamot and Orange Blossom; middle notes are Lily-of-the-Valley, Rose, Orange Blossom, Honey and Almond; base notes are Patchouli, Vetiver, Musk, Cedar and Leather.",https://www.fragrantica.com/perfume/Franck-Boclet/Rock-N-Rai-74935.html
Rock The Kasbah Franck Bocletfor women and men,for women and men,3.79,14,"['aromatic', 'amber', 'green', 'vanilla', 'woody', 'fresh spicy', 'sweet', 'soft spicy', 'balsamic', 'powdery']",[],"Rock The KasbahbyFranck Bocletis a fragrance for women and men. This is a new fragrance.Rock The Kasbahwas launched in 2022. Top notes are Mint, Lemon, Orange, Rosemary and Bergamot; middle notes are Mint, Myrrh, Palisander Rosewood, Sage, Fennel, Rose and Rosemary; base notes are Vanilla, Cedar, Amber, Musk and Patchouli.",https://www.fragrantica.com/perfume/Franck-Boclet/Rock-The-Kasbah-74913.html
Sweet Dream In Sahara Franck Bocletfor women and men,for women and men,3.20,10,"['warm spicy', 'amber', 'patchouli', 'earthy', 'vanilla', 'woody', 'powdery', 'fruity', 'iris', 'soft spicy']",[],"Sweet Dream In SaharabyFranck Bocletis a fragrance for women and men. This is a new fragrance.Sweet Dream In Saharawas launched in 2022. Top notes are Saffron, Red Fruits, Pink Pepper and Black Pepper; middle notes are Benzoin, Jasmine and Geranium; base notes are Patchouli, Amber, Orris Root and Vanilla.",https://www.fragrantica.com/perfume/Franck-Boclet/Sweet-Dream-In-Sahara-74917.html
