Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Royal Rose Al Haramain Perfumesfor women and men,for women and men,4.22,9,"['floral', 'powdery', 'rose', 'green', 'aromatic', 'musky', 'yellow floral', 'ozonic', 'fresh spicy', 'aquatic']",[],"Royal RosebyAl Haramain Perfumesis a Floral Green fragrance for women and men. Top notes are Mimosa, Violet Leaf and Geranium; middle notes are Galbanum, Freesia and Orris; base notes are Rose, White Musk and Heliotrope.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Royal-Rose-26557.html
Musk Maliki Al Haramain Perfumesfor women and men,for women and men,4.43,7,"['musky', 'white floral', 'powdery', 'animalic']",[],"Musk MalikibyAl Haramain Perfumesis a Floral Woody Musk fragrance for women and men. Top notes are White Musk, White Flowers and Mandarin Orange; middle notes are White Musk and White Flowers; base notes are White Musk and White Flowers.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-48224.html
Al Khaleej Al Haramain Perfumesfor men,for men,3.67,6,"['woody', 'oud', 'floral']",['Francisco Carbonnel'],Al KhaleejbyAl Haramain Perfumesis a Amber fragrance for men. The nose behind this fragrance is Francisco Carbonnel.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Al-Khaleej-19826.html
Mashaayer Al Haramain Perfumesfor women and men,for women and men,3.64,25,"['warm spicy', 'aromatic', 'fresh spicy', 'chocolate', 'musky', 'woody', 'cinnamon']",[],MashaayerbyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mashaayer-19813.html
Supremacy Not Only Intense Afnanfor men,for men,4.41,"2,272","['fruity', 'mossy', 'woody', 'earthy', 'citrus', 'fresh spicy', 'aromatic', 'animalic', 'amber', 'warm spicy']",[],"Supremacy Not Only IntensebyAfnanis a Amber Spicy fragrance for men.Supremacy Not Only Intensewas launched in 2021. Top notes are Black Currant, Bergamot and Apple; middle notes are Oakmoss, Patchouli and Lavender; base notes are Ambergris, Musk and Saffron.",https://www.fragrantica.com/perfume/Afnan/Supremacy-Not-Only-Intense-68271.html
N/A,N/A,N/A,N/A,[],[],N/A,https://www.fragrantica.com/perfume/Trump/Victory-47-for-Men-90450.html
Aquazur Lancasterfor women,for women,4.16,119,"['citrus', 'woody', 'powdery', 'white floral', 'floral', 'musky', 'herbal', 'aromatic', 'fresh spicy']",['Francis Kurkdjian'],"AquazurbyLancasteris a Floral Woody Musk fragrance for women.Aquazurwas launched in 2004. The nose behind this fragrance is Francis Kurkdjian. Top notes are Lemon Verbena, Bergamot and Mandarin Orange; middle notes are Lemon Blossom, Sunflower, Iris, Jasmine and Rose; base notes are Cedar, Musk and Amber.",https://www.fragrantica.com/perfume/Lancaster/Aquazur-1028.html
Emir You're Drugged Paris Cornerfor women and men,for women and men,4.19,189,"['warm spicy', 'coffee', 'cinnamon', 'fresh spicy', 'aromatic', 'vanilla']",[],Emir You're DruggedbyParis Corneris a Aromatic Spicy fragrance for women and men. This is a new fragrance.Emir You're Druggedwas launched in 2022. Top notes are Cinnamon and Whiskey; middle notes are Cardamom and Nutmeg; base notes are Coffee and Vanilla.,https://www.fragrantica.com/perfume/Paris-Corner/Emir-You-re-Drugged-82150.html
Khalta Al Haramain Perfumesfor women and men,for women and men,4.18,22,"['oud', 'woody', 'floral', 'powdery', 'tobacco', 'leather', 'musky', 'sweet', 'animalic', 'warm spicy']",[],KhaltabyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Khalta-19849.html
Ayah Al Haramain Perfumesfor women and men,for women and men,3.92,12,"['woody', 'rose', 'warm spicy', 'powdery', 'patchouli', 'oud', 'amber', 'musky', 'balsamic', 'earthy']",[],AyahbyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Ayah-26540.html
Autograph Noire Marks & Spencerfor women,for women,4.10,30,"['vanilla', 'white floral', 'powdery', 'citrus', 'floral', 'sweet', 'aromatic', 'almond']",[],"Autograph NoirebyMarks & Spenceris a Amber Floral fragrance for women. Top notes are Bergamot and Neroli; middle notes are Heliotrope, Jasmine and Lily; base notes are Vanille and Tonka Bean.",https://www.fragrantica.com/perfume/Marks-Spencer/Autograph-Noire-11191.html
Farasha Al Haramain Perfumesfor women and men,for women and men,4.41,22,"['floral', 'aquatic', 'musky', 'woody', 'fresh', 'powdery']",[],"FarashabyAl Haramain Perfumesis a Amber fragrance for women and men. Top notes are Flowers, Water Notes and Fruits; middle notes are Flowers and Woodsy Notes; base notes are Flowers and Musk.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Farasha-48223.html
Vanilla Era Boy Smellsfor women and men,for women and men,3.58,98,"['woody', 'amber', 'vanilla', 'musky', 'fresh spicy', 'balsamic', 'warm spicy', 'animalic', 'leather']",[],"Vanilla ErabyBoy Smellsis a Amber Vanilla fragrance for women and men. This is a new fragrance.Vanilla Erawas launched in 2023. Top notes are Black Pepper, Saffron, Tulip and Olibanum; middle notes are Cashmere Wood, Iso E Super and Beetroot; base notes are Vanilla Absolute, Papyrus and Black Amber.",https://www.fragrantica.com/perfume/Boy-Smells/Vanilla-Era-84908.html
Freesia & Coton Parfums Berdouesfor women and men,for women and men,3.97,32,"['floral', 'powdery', 'citrus', 'musky', 'white floral', 'woody']",[],"Freesia & CotonbyParfums Berdouesis a Floral fragrance for women and men.Freesia & Cotonwas launched in 2019. Top notes are Mandarin Orange and Bergamot; middle notes are Freesia, Cotton Flower and Jasmine; base notes are Cashmere Wood and White Musk.",https://www.fragrantica.com/perfume/Parfums-Berdoues/Freesia-Coton-57473.html
Pomme Patchouly Vanille Adopt Parfumsfor women and men,for women and men,4.00,1,"['woody', 'white floral', 'vanilla', 'patchouli', 'fruity', 'fresh', 'warm spicy', 'powdery', 'balsamic', 'green']",['Dominique Monlun'],Pomme Patchouly VanillebyAdopt Parfumsis a Floral Fruity fragrance for women and men. The nose behind this fragrance is Dominique Monlun. Top note is Apple; middle notes are Jasmine and Cedar; base notes are Patchouli and Vanilla.,https://www.fragrantica.com/perfume/Adopt-Parfums/Pomme-Patchouly-Vanille-34802.html
Supremacy Purple Afnanfor women,for women,3.97,92,"['fruity', 'musky', 'sweet', 'powdery', 'amber', 'citrus', 'vanilla', 'fresh', 'animalic']",[],Supremacy PurplebyAfnanis a Amber fragrance for women. Top notes are Fruits and Citruses; middle notes are Musk and Amber; base notes are Musk and Vanilla.,https://www.fragrantica.com/perfume/Afnan/Supremacy-Purple-70704.html
Aqua di Fiori Romantique Parfums Gentyfor women,for women,3.67,45,"['green', 'tuberose', 'citrus', 'aromatic', 'rose', 'white floral', 'fruity', 'fresh spicy', 'floral', 'sweet']",[],Aqua di Fiori RomantiquebyParfums Gentyis a Floral fragrance for women. Top notes are Rhubarb and Bergamot; middle notes are Tuberose and Rose; base notes are Patchouli and Sandalwood.,https://www.fragrantica.com/perfume/Parfums-Genty/Aqua-di-Fiori-Romantique-51121.html
Mukhallath Al Manasek Al Haramain Perfumesfor women and men,for women and men,4.00,13,"['woody', 'rose', 'floral', 'patchouli', 'warm spicy', 'oud', 'powdery', 'amber', 'musky', 'balsamic']",[],Mukhallath Al ManasekbyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Al-Manasek-19833.html
Asloob Adyanfor women,for women,3.50,4,"['woody', 'musky', 'powdery', 'rose', 'citrus', 'sweet', 'white floral', 'vanilla', 'patchouli', 'soft spicy']",[],"AsloobbyAdyanis a Amber Floral fragrance for women.Asloobwas launched in 2021. Top notes are Pear, Bergamot and Pink Pepper; middle notes are Rose and Jasmine; base notes are White Musk, Patchouli, Cedar and Vanilla.",https://www.fragrantica.com/perfume/Adyan/Asloob-85008.html
Jannah Al Haramain Perfumesfor women and men,for women and men,3.87,144,"['green', 'fresh spicy', 'aromatic', 'amber', 'herbal', 'musky']",['Francisco Carbonnel'],JannahbyAl Haramain Perfumesis a Amber Fougere fragrance for women and men. The nose behind this fragrance is Francisco Carbonnel.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Jannah-19870.html
Rose Noire Adopt Parfumsfor women,for women,3.99,112,"['rose', 'amber', 'musky', 'powdery', 'soft spicy', 'woody', 'floral', 'animalic']",[],"Rose NoirebyAdopt Parfumsis a fragrance for women. Top note is Pink Pepper; middle notes are Bulgarian Rose and White Flowers; base notes are Amber, Musk and Cedar.",https://www.fragrantica.com/perfume/Adopt-Parfums/Rose-Noire-59940.html
La Muse Sensuelle OKKIfor women,for women,3.50,10,[],['Nejla Barbir'],La Muse SensuellebyOKKIis a fragrance for women.La Muse Sensuellewas launched in 2013. The nose behind this fragrance is Nejla Barbir.,https://www.fragrantica.com/perfume/OKKI/La-Muse-Sensuelle-17601.html
Vanille Bourbon Adopt Parfumsfor women,for women,4.06,214,"['vanilla', 'powdery', 'sweet']",[],Vanille BourbonbyAdopt Parfumsis a Amber Vanilla fragrance for women.,https://www.fragrantica.com/perfume/Adopt-Parfums/Vanille-Bourbon-23497.html
Silver Touch Oud Elitefor men,for men,4.00,2,[],[],Silver TouchbyOud Eliteis a fragrance for men.Silver Touchwas launched during the 2010's.,https://www.fragrantica.com/perfume/Oud-Elite/Silver-Touch-40767.html
Nutcracker Latheratifor women and men,for women and men,3.00,3,"['woody', 'warm spicy', 'patchouli', 'sweet', 'balsamic', 'powdery']",['Julie Grogan'],NutcrackerbyLatheratiis a Woody fragrance for women and men.Nutcrackerwas launched in 2018. The nose behind this fragrance is Julie Grogan.,https://www.fragrantica.com/perfume/Latherati/Nutcracker-52745.html
Classic Lanoefor men,for men,N/A,N/A,[],['Simone Schmelzer'],ClassicbyLanoeis a fragrance for men.Classicwas launched in 2015. The nose behind this fragrance is Simone Schmelzer.,https://www.fragrantica.com/perfume/Lanoe/Classic-30136.html
Atifa Blanche Al Haramain Perfumesfor women,for women,4.11,46,"['citrus', 'white floral', 'rose', 'fresh spicy', 'powdery', 'aromatic', 'violet', 'amber', 'fresh', 'vanilla']",['Christian Carbonnel'],"Atifa BlanchebyAl Haramain Perfumesis a fragrance for women. The nose behind this fragrance is Christian Carbonnel. Top notes are Citruses, Sea Notes and Lime; middle notes are Violet, Rose, Geranium, Vanilla and Spicy Notes; base notes are Lily, Amber and Cedar.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Atifa-Blanche-26538.html
Precious Pink Afnanfor women,for women,4.00,5,"['floral', 'fruity', 'sweet']",[],Precious PinkbyAfnanis a fragrance for women.Precious Pinkwas launched in 2014.,https://www.fragrantica.com/perfume/Afnan/Precious-Pink-27373.html
Flagship II Special Edition 100ml The Dua Brandfor women and men,for women and men,4.75,4,"['woody', 'warm spicy', 'leather', 'oud', 'citrus', 'aromatic', 'fresh spicy', 'violet', 'powdery', 'metallic']",[],Flagship II Special Edition 100mlbyThe Dua Brandis a fragrance for women and men.Flagship II Special Edition 100mlwas launched in 2020.,https://www.fragrantica.com/perfume/The-Dua-Brand/Flagship-II-Special-Edition-100ml-80750.html
Sandal Granada Moresquefor women and men,for women and men,4.22,138,"['woody', 'honey', 'leather', 'smoky', 'powdery', 'warm spicy', 'amber', 'balsamic', 'sweet', 'animalic']",['Andrea (Thero) Casotti'],"Sandal GranadabyMoresqueis a Amber Woody fragrance for women and men.Sandal Granadawas launched in 2017. The nose behind this fragrance is Andrea (Thero) Casotti. Top note is Calabrian bergamot; middle notes are Sandalwood, Leather and Rose; base notes are Honey, Incense and Vanilla.",https://www.fragrantica.com/perfume/Moresque/Sandal-Granada-44325.html
Beauty Al Haramain Perfumesfor women,for women,3.60,15,"['citrus', 'sweet', 'floral', 'fruity', 'vanilla', 'conifer', 'green', 'sour']",[],BeautybyAl Haramain Perfumesis a Floral Fruity Gourmand fragrance for women.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Beauty-19865.html
Historic Doria Afnanfor women and men,for women and men,3.77,102,"['musky', 'woody', 'white floral', 'citrus', 'fruity', 'sweet', 'amber', 'powdery', 'tuberose', 'animalic']",[],"Historic DoriabyAfnanis a Floral fragrance for women and men. This is a new fragrance.Historic Doriawas launched in 2022. Top notes are Raspberry, Lemon Zest and Orange Blossom; middle notes are Ambroxan, Tuberose, Jasmine and Mandarin Orange; base notes are Woody Notes, Musk and Jasmine Sambac.",https://www.fragrantica.com/perfume/Afnan/Historic-Doria-75671.html
Husna Al Haramain Perfumesfor women and men,for women and men,3.31,13,"['citrus', 'powdery', 'green', 'aromatic', 'rose', 'violet', 'woody', 'musky', 'amber', 'floral']",[],"HusnabyAl Haramain Perfumesis a fragrance for women and men. Top notes are Lemon, Violet and Mandarin Orange; middle notes are Mint, Rose and Jasmine; base notes are Musk, Amber and Sandalwood.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Husna-40168.html
Promenade en Ete Ed Pinaudfor women and men,for women and men,N/A,N/A,"['fruity', 'woody', 'powdery', 'green', 'sweet', 'marine', 'white floral', 'aromatic', 'aquatic', 'vanilla']",[],"Promenade en EtebyEd Pinaudis a fragrance for women and men.Promenade en Etewas launched in 2018. Top notes are Pear and Green Leaves; middle notes are Jasmine, Peach, Red Apple and Sea Notes; base notes are Sandalwood, Cedar and Heliotrope.",https://www.fragrantica.com/perfume/Ed-Pinaud/Promenade-en-Ete-48994.html
Ambassador in Aqua Blue Parfums Gentyfor men,for men,2.69,13,"['woody', 'citrus', 'lavender', 'powdery']",[],"Ambassador in Aqua BluebyParfums Gentyis a Citrus Aromatic fragrance for men. Top notes are Orange, Lemon and Bergamot; middle notes are Lavender, Mint and Basil; base notes are Cedar and Sandalwood.",https://www.fragrantica.com/perfume/Parfums-Genty/Ambassador-in-Aqua-Blue-51075.html
Delicate Al Haramain Perfumesfor women,for women,4.00,55,"['floral', 'fruity', 'fresh', 'powdery', 'white floral', 'violet', 'cinnamon', 'musky', 'green', 'warm spicy']",[],"DelicatebyAl Haramain Perfumesis a Floral Fruity fragrance for women. Top notes are Red Fruits, Violet and Cinnamon; middle notes are Peony, Lily-of-the-Valley and Tuberose; base notes are Black Currant, Musk and Lilac.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Delicate-44519.html
Mukhallath Al Quds Al Haramain Perfumesfor men,for men,4.15,26,"['oud', 'amber', 'woody', 'powdery', 'musky', 'warm spicy', 'fresh spicy']",[],Mukhallath Al QudsbyAl Haramain Perfumesis a Amber Woody fragrance for men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Al-Quds-3903.html
Palazzo al Mare Outremerfor women and men,for women and men,3.67,9,"['floral', 'fruity', 'sweet', 'fresh']",[],Palazzo al MarebyOutremeris a Floral Fruity fragrance for women and men.,https://www.fragrantica.com/perfume/Outremer/Palazzo-al-Mare-16358.html
Sunrise Killer Oud Paris Cornerfor women and men,for women and men,4.32,38,"['aromatic', 'lavender', 'sweet', 'herbal', 'citrus', 'warm spicy', 'fresh spicy', 'vanilla', 'woody', 'tobacco']",[],"Sunrise Killer OudbyParis Corneris a fragrance for women and men. This is a new fragrance.Sunrise Killer Oudwas launched in 2022. Top notes are Lavender, Immortelle, Brandy and Orange; middle notes are Clary Sage, Bergamot and Juniper Berries; base notes are Tonka Bean, Vanilla and Cedar.",https://www.fragrantica.com/perfume/Paris-Corner/Sunrise-Killer-Oud-88075.html
Fakhrul Arab Al Haramain Perfumesfor men,for men,4.11,38,"['warm spicy', 'woody', 'floral', 'oud', 'powdery', 'metallic', 'amber', 'leather']",[],Fakhrul ArabbyAl Haramain Perfumesis a Amber fragrance for men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Fakhrul-Arab-3900.html
Almass Oud Elitefor women,for women,4.67,3,"['oud', 'amber', 'fresh spicy']",[],AlmassbyOud Eliteis a Amber fragrance for women.Almasswas launched during the 2010's.,https://www.fragrantica.com/perfume/Oud-Elite/Almass-40765.html
Angel Al Haramain Perfumesfor women and men,for women and men,3.96,122,"['vanilla', 'fresh spicy', 'powdery', 'aromatic', 'musky', 'lavender', 'citrus', 'sweet', 'floral']",[],"AngelbyAl Haramain Perfumesis a Citrus Aromatic fragrance for women and men. Top notes are Rosemary, Mandarin Orange and Galbanum; middle notes are Nutmeg, Heliotrope and Lavender; base notes are Vanilla, Musk and Amber.",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Angel-34904.html
N/A,N/A,N/A,N/A,[],[],N/A,https://www.fragrantica.com/perfume/Trump/Victory-47-for-Women-90453.html
