Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Bianco d'Ambra Helanfor women,for women,4.19,37,"['amber', 'fresh spicy', 'iris', 'powdery', 'earthy', 'violet', 'mossy', 'animalic']",[],Bianco d'AmbrabyHelanis a fragrance for women. Top notes are Amber and Nutmeg; middle notes are Amber and Iris; base notes are Amber and Oakmoss.,https://www.fragrantica.com/perfume/Helan/Bianco-d-Ambra-71481.html
Gocce d'Ambra Helanfor women,for women,3.56,18,"['amber', 'citrus', 'woody', 'animalic']",[],"Gocce d'AmbrabyHelanis a fragrance for women.Gocce d'Ambrawas launched in 2018. Top notes are Sweet Orange, Calabrian bergamot, Hawthorn and Honey; middle notes are Amber and Jasmine; base notes are Amber, Cedar, Patchouli and Vetiver.",https://www.fragrantica.com/perfume/Helan/Gocce-d-Ambra-59146.html
Nettare d'Ambra Helanfor women,for women,3.68,25,"['amber', 'powdery', 'woody', 'vanilla', 'warm spicy', 'animalic', 'balsamic', 'tuberose']",[],"Nettare d'AmbrabyHelanis a fragrance for women. Top notes are Amber and Bourbon Vanilla; middle notes are Heliotrope and Tuberose; base notes are Amber, Sandalwood and Patchouli.",https://www.fragrantica.com/perfume/Helan/Nettare-d-Ambra-71483.html
Vaniglia Kashmir Helanfor women,for women,4.08,49,"['amber', 'powdery', 'woody', 'vanilla', 'musky', 'sweet', 'soft spicy', 'warm spicy', 'balsamic', 'anis']",[],Vaniglia KashmirbyHelanis a Amber fragrance for women.,https://www.fragrantica.com/perfume/Helan/Vaniglia-Kashmir-41642.html
Vaniglia Oolong Helanfor women,for women,4.24,49,"['warm spicy', 'vanilla', 'aromatic', 'citrus', 'woody', 'powdery', 'musky', 'fresh spicy', 'sweet']",[],Vaniglia OolongbyHelanis a Aromatic Spicy fragrance for women.,https://www.fragrantica.com/perfume/Helan/Vaniglia-Oolong-41641.html
Vaniglia Verveine Helanfor women and men,for women and men,3.81,48,"['citrus', 'vanilla', 'aromatic', 'powdery', 'herbal', 'fresh spicy']",[],Vaniglia VerveinebyHelanis a Aromatic Green fragrance for women and men.,https://www.fragrantica.com/perfume/Helan/Vaniglia-Verveine-41643.html
Iconica Helanfor women,for women,4,8,"['warm spicy', 'white floral', 'fresh', 'floral', 'rose', 'musky', 'woody', 'powdery']",[],"IconicabyHelanis a fragrance for women. Top notes are Rose, Cloves and Red Chilli Pepper; middle notes are Lily-of-the-Valley, Jasmine and Cyclamen; base notes are Palisander Rosewood and White Musk.",https://www.fragrantica.com/perfume/Helan/Iconica-71485.html
Inattesa Helanfor women,for women,3.44,9,"['rose', 'fresh spicy', 'citrus', 'floral', 'aromatic', 'herbal']",[],"InattesabyHelanis a fragrance for women. Top notes are Bergamot, Cardamom, Sichuan Pepper, Elemi resin and Mineral notes; middle notes are Black Rose, Geranium, Saffron and Spicy Notes; base notes are Vetiver, Incense, Resins, Amber and Patchouli.",https://www.fragrantica.com/perfume/Helan/Inattesa-71486.html
Infinita Helanfor women,for women,3.38,8,"['musky', 'rose', 'woody', 'fruity', 'powdery', 'floral', 'sweet', 'citrus', 'soft spicy', 'yellow floral']",[],"InfinitabyHelanis a fragrance for women. Top notes are Pink Grapefruit, Black Currant, Rhubarb and Pink Pepper; middle notes are Damask Rose, Jasmine and Ylang-Ylang; base notes are Musk, Orris Root and Amberwood.",https://www.fragrantica.com/perfume/Helan/Infinita-71484.html
Agrumee Helanfor women,for women,3.86,7,"['citrus', 'aromatic', 'fresh spicy', 'woody']",[],"AgrumeebyHelanis a Citrus Aromatic fragrance for women. Top notes are Lime, Green Orange, Italian Mandarin, Grapefruit, Lemon, Yuzu and Kumquat; middle notes are Sea Notes, Geranium, Egyptian Jasmine and Turkish Rose; base notes are Haitian Vetiver, Texas Cedar, White Musk and Amber.",https://www.fragrantica.com/perfume/Helan/Agrumee-41939.html
Ginger Helanfor women,for women,4,1,"['citrus', 'white floral', 'warm spicy', 'woody', 'tuberose', 'powdery', 'musky', 'fresh']",[],"GingerbyHelanis a Floral Woody Musk fragrance for women. Top notes are Sweet Orange, Lemon, Mandarin Orange and Orange Blossom; middle notes are Tunisian Neroli, Jasmine Sambac, Tuberose and Ginger flower; base notes are Sandalwood and White Musk.",https://www.fragrantica.com/perfume/Helan/Ginger-41938.html
Malva Helanfor women,for women,4.2,5,"['woody', 'aromatic', 'fruity', 'white floral', 'floral', 'musky', 'tuberose', 'soft spicy', 'sweet', 'fresh']",[],"MalvabyHelanis a Floral Green fragrance for women. Top notes are Peach Blossom, Malva, Cassis and Marigold; middle notes are Malva, Tuberose, Pitosporum and Red Currant; base notes are Cedar, Sandalwood, Musk, Labdanum, Ebony and Vetiver.",https://www.fragrantica.com/perfume/Helan/Malva-41937.html
Desiderio Intenso Helanfor women and men,for women and men,3.83,12,"['woody', 'powdery', 'earthy', 'patchouli', 'floral', 'iris', 'amber', 'fruity', 'musky', 'aromatic']",[],"Desiderio IntensobyHelanis a fragrance for women and men. This is a new fragrance.Desiderio Intensowas launched in 2022. Top notes are Patchouli Leaf and White Peach; middle notes are Patchouli, Iris, Magnolia and Geranium; base notes are Amber, Vetiver, Precious Woods, White Musk and Vanilla Bean.",https://www.fragrantica.com/perfume/Helan/Desiderio-Intenso-78597.html
Istinto Puro Helanfor women and men,for women and men,2.86,7,"['amber', 'woody', 'vanilla', 'musky', 'citrus', 'powdery', 'aromatic', 'sweet', 'warm spicy', 'patchouli']",[],"Istinto PurobyHelanis a fragrance for women and men. This is a new fragrance.Istinto Purowas launched in 2022. Top notes are Angelica, Sweet Orange, Bergamot and Petitgrain; middle notes are Patchouli, Turkish Rose, Jasmine Sambac, Ylang-Ylang and Vanilla Flower; base notes are White Woods, Tonka Bean, Vetiver, Amber and Benzoin.",https://www.fragrantica.com/perfume/Helan/Istinto-Puro-78596.html
Spirito Libero Helanfor women and men,for women and men,3.75,8,"['white floral', 'woody', 'powdery', 'iris', 'musky', 'patchouli', 'earthy', 'green', 'warm spicy', 'floral']",[],"Spirito LiberobyHelanis a fragrance for women and men. This is a new fragrance.Spirito Liberowas launched in 2022. Top notes are Green Notes, Tangerine and Water Notes; middle notes are Jasmine Sambac, White Flowers, Patchouli, Bulgarian Rose and Ylang-Ylang; base notes are Orris Root, White Musk, Vanilla Bean, Sandalwood and Cedar.",https://www.fragrantica.com/perfume/Helan/Spirito-Libero-78595.html
Lavanda Helanfor women,for women,4.5,4,"['aromatic', 'woody', 'green', 'lavender', 'fresh spicy', 'herbal']",[],"LavandabyHelanis a Woody Aromatic fragrance for women. Top notes are Lavender, Mint and Sage; middle notes are Palisander Rosewood, Patchouli and Vetiver; base notes are Cedar and Vanilla.",https://www.fragrantica.com/perfume/Helan/Lavanda-41225.html
Rosa Rosae Helanfor women,for women,4,6,"['floral', 'rose', 'musky', 'warm spicy', 'powdery', 'white floral', 'fresh', 'woody']",[],"Rosa RosaebyHelanis a Floral fragrance for women. Top notes are Rose, Carnation and Red Chilli Pepper; middle notes are Lily-of-the-Valley, Jasmine and Cyclamen; base notes are White Musk and Palisander Rosewood.",https://www.fragrantica.com/perfume/Helan/Rosa-Rosae-41226.html
Violetta Helanfor women,for women,4.38,8,"['powdery', 'violet', 'yellow floral', 'floral', 'woody', 'vanilla', 'iris', 'rose', 'sweet', 'white floral']",[],"ViolettabyHelanis a Amber Floral fragrance for women. Top notes are Violet, Iris Flower and Mimosa; middle notes are Lily-of-the-Valley, Ylang-Ylang and May Rose; base notes are Heliotrope, Sandalwood and Vanilla.",https://www.fragrantica.com/perfume/Helan/Violetta-41227.html
Agapanthus Helanfor women,for women,4,2,"['woody', 'citrus', 'aromatic', 'marine', 'patchouli', 'amber', 'earthy', 'powdery', 'warm spicy', 'soft spicy']",[],"AgapanthusbyHelanis a Citrus Aromatic fragrance for women. Top notes are Sicilian Mandarin, Calabrian bergamot and Pink Pepper; middle notes are Sea Notes, Patchouli, Cedar and Amaryllis; base notes are Sandalwood, Amber and Vetiver.",https://www.fragrantica.com/perfume/Helan/Agapanthus-41932.html
Amaryllis Helanfor women,for women,3.5,4,"['white floral', 'citrus', 'floral', 'powdery', 'yellow floral', 'amber', 'violet', 'musky', 'sweet', 'woody']",[],"AmaryllisbyHelanis a Floral fragrance for women. Top notes are Calabrian bergamot and Orange Blossom; middle notes are Ylang-Ylang, French Violet, Egyptian Jasmine and Amaryllis; base notes are White Musk and Siam Benzoin.",https://www.fragrantica.com/perfume/Helan/Amaryllis-41931.html
Fior di Vaniglia Helanfor women,for women,4,11,"['vanilla', 'warm spicy', 'sweet', 'cinnamon', 'powdery', 'citrus', 'amber', 'aromatic']",[],"Fior di VanigliabyHelanis a Amber Spicy fragrance for women. Top notes are Bergamot and Orange; middle notes are Cinnamon, Lily-of-the-Valley and Carnation; base notes are Bourbon Vanilla, Tonka Bean and White Musk.",https://www.fragrantica.com/perfume/Helan/Fior-di-Vaniglia-41929.html
Ibisco Helanfor women,for women,4.2,5,"['floral', 'fresh spicy', 'citrus', 'woody', 'white floral', 'patchouli', 'musky', 'earthy', 'warm spicy', 'aromatic']",[],"IbiscobyHelanis a Floral fragrance for women. Top notes are Calabrian bergamot, Lemon, Indonesian Pepper and Pink Pepper; middle notes are Hibiscus, Lily-of-the-Valley, Moroccan Jasmine and Water Hyacinth; base notes are Patchouli, Haitian Vetiver and White Musk.",https://www.fragrantica.com/perfume/Helan/Ibisco-41928.html
