name,brand,type,rating_value,rating_count,gender,country,year,segment,perfumers,families,top_notes,middle_notes,bottom_notes,users_notes,url
Patchouli Tonka,Berdoues,,"0,0",N/A,с 2002,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/parfums-berdoues-patchouli-tonka-80419/
Plumeria,Perfumes Polynesia,Духи / Экстракт,"0,0",N/A,Духи / Экстракт,N/A,N/A,N/A,[],['citrus'],[],['frangipani'],[],[],https://aromo.ru/fragrance/perfumes-polynesia-plumeria-81730/
Preludio Romantico,Rudy Profumi,,"0,0",N/A,с 1940,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/rudy-profumi-preludio-romantico-82297/
Racco Numero 5,Racco,,"0,0",N/A,В производстве,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/racco-racco-numero-5-83388/
New York Intense,Fragrance du Bois,Духи / Экстракт,"5,0",1 оценка,Нишевая парфюмерия,france,2020,niche,[],['east'],"['orange', 'jezhevika', 'coriander', 'cinnamon', 'laurel', 'rose']","['immortelle', 'guajak', 'cloves', 'ladan', 'mod', 'orchid', 'vanil']","['ambra', 'dubovyj-moh', 'kedr', 'labdanum', 'myrrh', 'musk', 'pachuli', 'oud', 'vetiver']",[],https://aromo.ru/fragrance/fragrance-du-bois-new-york-intense-perfume-extract-parfum-extrait-de-parfum-2287605/
Real,American Eagle,Парфюмерная вода,"0,0",N/A,с 2006,N/A,N/A,N/A,[],"['fruit', 'floral']","['granat', 'mandarin']","['apelsinovyj-cvet-flerdoranzh', 'lily-of-the-valley', 'lotos']","['birch', 'pachuli']",[],https://aromo.ru/fragrance/american-eagle-real-83743/
Regal Coach Perfume,Benjamin Ansehl,Духи / Экстракт,"0,0",N/A,Выпуск прекращен,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/benamin-ansehl-regal-coach-perfume-83996/
Revolution by Yacare,Yacare,,"0,0",N/A,с 1987,N/A,N/A,N/A,[],"['floral', 'east']","['star-anise', 'gvozdika', 'iris', 'lavender', 'juniper']","['iris', 'koren-fialki', 'lavender']","['ambra', 'white-musk', 'tonka-bean', 'vanil']",[],https://aromo.ru/fragrance/yacare-revolution-by-yacare-84307/
Roman Thermae,Re Classified,,"0,0",N/A,с 2014,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/re-classified-roman-thermae-84729/
Rose Noir,In Fiore,Твёрдые духи,"0,0",N/A,Твёрдые духи,N/A,N/A,N/A,[],['east'],[],"['galbanum', 'saffron', 'oud', 'vetiver', 'damask-rose-rosa-damascena']",[],[],https://aromo.ru/fragrance/in-fiore-rose-noir-85229/
Rosewater Eau Fraiche,Crabtree & Evelyn,,"0,0",N/A,В производстве,N/A,N/A,N/A,[],['floral'],[],['rose'],[],[],https://aromo.ru/fragrance/crabtree--evelyn-rosewater-eau-fraiche-85386/
Roy,Berdoues,,"0,0",N/A,с 1988,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/parfums-berdoues-roy-85496/
Royal Select,Fine Perfumery,,"0,0",N/A,В производстве,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/fine-perfumery-royal-select-85625/
Sahaab,Raviseine,Масляные духи,"0,0",N/A,Масляные духи,N/A,N/A,N/A,[],"['fern', 'east']","['bergamot', 'jabloko', 'lemon', 'sliva']","['tagetes', 'cloves', 'cinnamon', 'rose']","['kedr', 'sandal', 'vanil', 'vetiver']",[],https://aromo.ru/fragrance/raviseine-sahaab-86119/
Sandalo,Frais Monde / Brambles and Moor,,"0,0",N/A,В производстве,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/brambles-and-moor-sandalo-86414/
Lady Satellite,Deconstructing Eden,,"0,0",N/A,Нишевая парфюмерия,united-states,2017,niche,[],['fern'],[],"['mountain-air', 'metallic-notes', 'musk', 'petrol']",[],[],https://aromo.ru/fragrance/deconstructing-eden-lady-satellite-1021773/
Sansibar,Evora,,"0,0",N/A,N/A,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/evora-sansibar-86521/
Marché de Tabac,West Third Brand,Туалетная вода,"0,0",N/A,Натуральная парфюмерия,united-states,2010,natural-perfumes,[],"['wood', 'aromatic']",[],"['anise', 'orange', 'cloves', 'kedr', 'musk', 'sandal', 'tabak']",[],[],https://aromo.ru/fragrance/west-third-brand-smell-good-daily-_-march_-de-tabac-88782/
