Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Burning Barbershop DS&Durgafor men,for men,3.79,589,"['aromatic', 'lavender', 'green', 'fresh spicy', 'vanilla', 'citrus', 'sweet', 'powdery', 'conifer']",['David Seth Moltz'],Burning BarbershopbyDS&Durgais a Aromatic fragrance for men.Burning Barbershopwas launched in 2010. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Burning-Barbershop-8807.html
Cedar DS&Durgafor women,for women,,,"['rose', 'woody', 'floral', 'powdery']","['David Seth Moltz', 'Kavi Moltz']",CedarbyDS&Durgais a Woody fragrance for women.Cedarwas launched in 2000. Cedar was created by David Seth Moltz and Kavi Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Cedar-8799.html
Colorado & Florida DS&Durgafor women and men,for women and men,4.0,1,"['woody', 'aromatic', 'earthy', 'conifer']","['David Seth Moltz', 'Kavi Moltz']","Colorado & FloridabyDS&Durgais a Woody Aromatic fragrance for women and men.Colorado & Floridawas launched in 2011. Colorado & Florida was created by David Seth Moltz and Kavi Moltz. Top notes are Soil Tincture and Lavender; middle notes are Cedar, Myrtle and Rose; base notes are Pine Tree, Ambergris and Osmanthus.",https://www.fragrantica.com/perfume/DS-Durga/Colorado-Florida-28853.html
Coriander DS&Durgafor women,for women,4.03,468,"['aromatic', 'green', 'marine', 'soft spicy', 'citrus', 'herbal', 'salty']",['David Seth Moltz'],CorianderbyDS&Durgais a Aromatic Spicy fragrance for women. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Coriander-8798.html
Cowboy Grass DS&Durgafor men,for men,3.98,642,"['aromatic', 'soft spicy', 'woody', 'herbal', 'earthy']",['David Seth Moltz'],Cowboy GrassbyDS&Durgais a Woody Aromatic fragrance for men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Cowboy-Grass-8805.html
Cowgirl Grass DS&Durgafor women,for women,4.0,6,"['tuberose', 'white floral', 'aromatic', 'woody', 'earthy', 'green', 'animalic', 'herbal']",['David Seth Moltz'],Cowgirl GrassbyDS&Durgais a Floral Green fragrance for women.Cowgirl Grasswas launched during the 2000's. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Cowgirl-Grass-8793.html
Crush Balls DS&Durgafor women and men,for women and men,3.53,19,"['tennis ball', 'green', 'fresh', 'aromatic', 'fresh spicy', 'floral', 'woody', 'powdery']",[],Crush BallsbyDS&Durgais a Aromatic Green fragrance for women and men. This is a new fragrance.Crush Ballswas launched in 2023.,https://www.fragrantica.com/perfume/DS-Durga/Crush-Balls-84120.html
Crystal Pistil DS&Durgafor women and men,for women and men,3.95,199,"['white floral', 'musky', 'floral', 'animalic', 'citrus', 'aquatic', 'sweet']",[],"Crystal PistilbyDS&Durgais a Floral Aquatic fragrance for women and men.Crystal Pistilwas launched in 2020. Top notes are Orange Blossom, Water Notes and Pink Pepper; middle notes are Jasmine, Floral Notes and Paradisone; base notes are White Musk, Ambrette (Musk Mallow) and Synthetic Civet.",https://www.fragrantica.com/perfume/DS-Durga/Crystal-Pistil-59884.html
D.S. DS&Durgafor women and men,for women and men,3.97,151,"['woody', 'floral', 'warm spicy', 'oud', 'powdery', 'aromatic', 'white floral', 'metallic', 'earthy', 'lactonic']",[],"D.S.byDS&Durgais a fragrance for women and men.D.S.was launched in 2019. D.S. was created by David Seth Moltz, Kavi Moltz and Rayda Vega. Top notes are Saffron, Gardenia and Frangipani; middle notes are Agarwood (Oud), Lotus and Damask Rose; base notes are Sandalwood, Vetiver and Ambrette (Musk Mallow).",https://www.fragrantica.com/perfume/DS-Durga/D-S-53706.html
Debaser DS&Durgafor women and men,for women and men,4.19,"1,557","['woody', 'sweet', 'fruity', 'coconut', 'vanilla', 'iris', 'green', 'lactonic', 'tropical', 'powdery']",['David Seth Moltz'],"DebaserbyDS&Durgais a Aromatic Fruity fragrance for women and men.Debaserwas launched in 2015. The nose behind this fragrance is David Seth Moltz. Top notes are Stems Greens, Bergamot and Pear; middle notes are Fig, Coconut Milk and Iris; base notes are Precious Woods, Tonka Bean and Moss.",https://www.fragrantica.com/perfume/DS-Durga/Debaser-29736.html
